teamA;teamB;tournament;teamA_win;year;month;day;diff_GP;ratio_GP;diff_AGT;ratio_AGT;diff_KD;ratio_KD;diff_CKPM;ratio_CKPM;diff_GPR;ratio_GPR;diff_GSPD;ratio_GSPD;diff_EGR;ratio_EGR;diff_MLR;ratio_MLR;diff_GD15;ratio_GD15;diff_FB%;ratio_FB%;diff_FT%;ratio_FT%;diff_F3T%;ratio_F3T%;diff_PPG;ratio_PPG;diff_HLD%;ratio_HLD%;diff_GRB%;ratio_GRB%;diff_FD%;ratio_FD%;diff_DRG%;ratio_DRG%;diff_ELD%;ratio_ELD%;diff_FBN%;ratio_FBN%;diff_BN%;ratio_BN%;diff_LNE%;ratio_LNE%;diff_JNG%;ratio_JNG%;diff_WPM;ratio_WPM;diff_CWPM;ratio_CWPM;diff_WCPM;ratio_WCPM;diff_winrate%;ratio_winrate%
54;30;16;1;2025;2;16;1.0;1.1666664722222546;2.6999999999999957;1.081570964302992;-0.22000000000000008;0.801801079458487;-0.16000000000000003;0.846153032545161;0.0;1.000001000001;-0.02;0.1304291117777488;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;-0.21000000000000002;0.5799988400023199;0.06999999999999995;1.13999772000456;0.0;1.000001000001;0.0;1.000001000001;-0.24000000000000005;0.6417900868804672;-0.21000000000000002;0.6718739501969527;-0.21000000000000002;0.5799988400023199;-0.41;0.4459453433171036;0.0;1.000001000001;0.0;1.000001000001;-0.2;0.5999988000023999;0.014000000000000012;1.0282807509479779;0.03400000000000003;1.0686847097278593;0.04999999999999982;1.0152902093913732;-0.030000000000000027;0.9776112107379025;-0.019999999999999796;0.9877294553807024;0.0714285714285714;1.1428548571474284
24;19;16;1;2025;2;15;1.0;1.14285697959186;-0.20000000000000284;0.9940652524016246;0.43999999999999995;1.7857110969444694;0.030000000000000027;1.0384602071022986;0.0;1.000001000001;0.11599999999999991;-0.19587830802379425;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;0.10999999999999999;1.785701530703352;0.34;2.172406302047235;0.0;1.000001000001;0.0;1.000001000001;0.32;1.7441819902744413;0.030000000000000027;1.0697649540349907;0.040000000000000036;1.0563365403710698;0.11000000000000004;1.2619017573767684;0.0;1.000001000001;0.0;1.000001000001;0.09000000000000002;1.310340309171348;0.008000000000000007;1.0159342312067108;0.04199999999999998;1.0943795631919928;0.050000000000000266;1.0157725502294794;0.010000000000000009;1.0078117126470996;0.16999999999999993;1.1140932120179785;0.3571428571428572;3.4999755001715003
3;54;16;0;2025;2;14;-2.0;0.7499999062500118;-1.8999999999999986;0.9429429146263391;1.17;1.89312832585624;-0.07999999999999996;0.910111336953554;0.0;1.000001000001;0.03900000000000001;1.6609887968000543;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;-0.13;0.7936495338896287;0.32999999999999996;1.65999668000664;0.0;1.000001000001;0.0;1.000001000001;-0.3;0.523808692367155;0.06000000000000005;1.11999776000448;-0.13;0.7936495338896287;0.14;1.2121193755767037;0.0;1.000001000001;0.0;1.000001000001;0.050000000000000044;1.0666652444463407;0.013000000000000012;1.0258428909684076;-0.0119999999999999;0.9774840947765577;-0.050000000000000266;0.9854224532296053;-0.19999999999999996;0.8675490943383481;0.20999999999999996;1.131249292969192;0.25;1.333331555557926
36;43;16;1;2025;2;13;-1.0;0.8749998906250137;-3.1000000000000014;0.9114285453877559;0.7;1.6930676306261083;0.14;1.1917791893435763;0.0;1.000001000001;0.073;73.92607392607393;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;0.37;1.5872990677792573;-0.2;0.6825385991450806;0.0;1.000001000001;0.0;1.000001000001;0.31999999999999995;2.27999088003648;0.16000000000000003;1.3333305555613428;0.03999999999999998;1.15999536001856;0.33999999999999997;1.9189137326655874;0.0;1.000001000001;0.0;1.000001000001;0.44999999999999996;1.8181785124027046;-0.006000000000000005;0.987925577614532;0.05300000000000005;1.104328534786349;-0.3200000000000003;0.9056044526240552;-0.18000000000000016;0.8646610040142826;-0.010000000000000009;0.9932879239678363;0.3571428571428571;1.7142822857211426
39;56;16;1;2025;2;12;1.0;1.14285697959186;-0.8000000000000007;0.9746835134593824;0.12;1.203387790868151;0.0;0.9999988764057568;0.0;1.000001000001;0.0;1.0000101011121325;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;-0.18;0.5813939967581471;0.07;1.1627879935162941;0.0;1.000001000001;0.0;1.000001000001;0.21000000000000002;1.7241319857517736;0.23000000000000004;1.741929864742372;0.09000000000000002;1.310340309171348;0.0;0.999997674424013;0.0;1.000001000001;0.0;1.000001000001;-0.14;0.802815770682013;0.0010000000000000009;1.0020640453222205;-0.016000000000000014;0.9670761994316884;-0.020000000000000018;0.9939936954973887;-0.28;0.8157889369809626;-0.21999999999999997;0.8598720637757556;0.1071428571428572;1.7499877500857501
12;31;16;1;2025;2;11;0.0;0.9999998571428775;0.10000000000000142;1.00308638879363;0.06000000000000005;1.105261218839967;0.09999999999999998;1.1234554031414776;0.0;1.000001000001;0.019000000000000003;0.7764797232908622;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;0.27999999999999997;1.9655104637570218;-0.14;0.6744170362394506;0.0;1.000001000001;0.0;1.000001000001;-0.13999999999999996;0.7543846414304537;-0.04999999999999999;0.8999982000036;0.0;0.999997674424013;0.009999999999999953;1.0357105867479044;0.0;1.000001000001;0.0;1.000001000001;0.03;1.1363584710978587;-0.0040000000000000036;0.9918843978004102;-0.008000000000000063;0.9831912117831685;0.10000000000000009;1.0300297207117957;0.1299999999999999;1.1031737276398987;0.009999999999999787;1.0072985348185877;0.0;0.9999930000489996
1;53;16;1;2025;2;10;1.0;1.1666664722222546;4.5;1.14018688036801;1.16;3.3673400666529254;0.08999999999999997;1.0999987777791358;0.0;1.000001000001;0.188;-0.6637226878113965;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;0.20999999999999996;1.4199971600056798;-0.07;0.8599982800034399;0.0;1.000001000001;0.0;1.000001000001;0.23999999999999994;1.7272674931288086;0.010000000000000009;1.021274422820377;0.53;2.606052708931185;0.41000000000000003;2.5769131657185937;0.0;1.000001000001;0.0;1.000001000001;0.53;2.8275764566329085;0.02300000000000002;1.0474205207824314;0.0530000000000001;1.1157180879517734;0.009999999999999787;1.0029151594999535;-0.08999999999999986;0.9379303876342155;0.28;1.202897679059653;0.8571428571428571;857142.8571428572
57;27;16;0;2025;2;9;-1.0;0.8749998906250137;0.8000000000000007;1.0259739926631821;-0.2100000000000002;0.8703698331050412;0.09999999999999998;1.1190462868496585;0.0;1.000001000001;0.015;1.163030836621341;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;0.07999999999999996;1.1269823381232726;0.32999999999999996;1.8684161357470113;0.0;1.000001000001;0.0;1.000001000001;0.20999999999999996;1.4199971600056798;0.009999999999999898;1.0178553252583475;-0.18000000000000005;0.7599989866680177;-0.06999999999999995;0.8852444504189337;0.0;1.000001000001;0.0;1.000001000001;0.54;5.153806509180699;-0.0050000000000000044;0.9903455784834392;0.018999999999999906;1.0369629631070754;-0.07000000000000028;0.979826806966338;0.040000000000000036;1.0322572320506194;0.30999999999999983;1.2296287187935415;0.1071428571428571;1.1428556190496506
54;1;17;1;2025;3;1;6.0;1.5999998400000162;1.1999999999999957;1.0366972160031431;-0.09000000000000008;0.9333326419758208;0.05999999999999994;1.0749986562516796;0.0;1.000001000001;0.009000000000000001;1.8180165439505502;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;0.16000000000000003;1.3999965000087502;0.06000000000000005;1.11999776000448;0.0;1.000001000001;0.0;1.000001000001;-0.020000000000000018;0.9499976250059375;-0.010000000000000009;0.9811302242825957;0.03999999999999998;1.099997250006875;0.04999999999999993;1.0925905692767233;0.0;1.000001000001;0.0;1.000001000001;-0.27;0.5781240966810989;0.006000000000000005;1.0119740279959522;0.028000000000000025;1.058209858191563;0.07000000000000028;1.020957778156354;0.0;0.9999992805760572;0.08000000000000007;1.0536905679929074;0.15000000000000002;1.249997916670139
54;27;17;1;2025;2;27;3.0;1.3333331851852017;0.4000000000000057;1.0118342895907018;0.17999999999999994;1.1894724321342818;0.16000000000000003;1.2105247229937854;0.0;1.000001000001;-0.048999999999999995;0.03921491735456168;0.0;1.000001000001;0.0;1.000001000001;0.0;1.000001000001;-0.020000000000000018;0.9545432851288974;0.019999999999999907;1.0357124362277923;0.0;1.000001000001;0.0;1.000001000001;-0.45;0.4230763806713068;0.13;1.3513476990602729;-0.31000000000000005;0.44642777423611735;0.020000000000000018;1.03773389106813;0.0;1.000001000001;0.0;1.000001000001;-0.13;0.7173897448049027;-0.0040000000000000036;0.9921855621375739;-0.03199999999999992;0.9405186979206359;-0.2799999999999998;0.9241189907536611;0.020000000000000018;1.0144920184840447;0.020000000000000018;1.0133326577782282;0.19444444444444442;1.3499975700043738
