"date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"2025-02-14","Bilibili Gaming",11,8,3,30.4,174,133,1.31,0.91,,"3.5%",,,,"45%","82%",,,"18%","44%","55%","61%",,,"67%","51.5%","48.8%",3.29,1.26,1.61
"2025-02-14","EDward Gaming",10,4,6,33.1,122,143,0.85,0.8,,"-2.4%",,,,"40%","30%",,,"50%","52%","40%","43%",,,"46%","49.5%","47.8%",3.49,1.36,1.43
"2025-02-14","FunPlus Phoenix",7,1,6,33.7,66,118,0.56,0.78,,"-9.7%",,,,"14%","29%",,,"43%","43%","71%","42%",,,"29%","50.2%","44.5%",3.17,1.28,1.49
"2025-02-14","Invictus Gaming",8,4,4,33.5,108,108,1,0.81,,"1.9%",,,,"25%","63%",,,"75%","46%","75%","53%",,,"38%","51.0%","48.7%",3.22,1.29,1.66
"2025-02-14","JD Gaming",13,9,4,32.7,215,155,1.39,0.87,,"7.6%",,,,"62%","54%",,,"54%","56%","54%","48%",,,"33%","51.0%","52.3%",3.66,1.3,1.41
"2025-02-14","LGD Gaming",6,3,3,33.1,109,98,1.11,1.04,,"2.3%",,,,"50%","50%",,,"67%","64%","50%","74%",,,"50%","49.5%","49.5%",3.27,1.34,1.63
"2025-02-14","LNG Esports",10,1,9,33.1,82,159,0.52,0.73,,"-8.2%",,,,"50%","50%",,,"50%","45%","50%","26%",,,"21%","49.3%","48.3%",3.26,1.24,1.47
"2025-02-14","Ninjas in Pyjamas",10,9,1,32.1,182,98,1.86,0.87,,"8.3%",,,,"90%","60%",,,"70%","68%","30%","71%",,,"100%","49.2%","56.6%",3.07,1.13,1.49
"2025-02-14","Oh My God",13,5,8,32.9,174,205,0.85,0.89,,"-6.8%",,,,"31%","54%",,,"31%","55%","38%","40%",,,"53%","49.4%","46.7%",3.33,1.25,1.44
"2025-02-14","Royal Never Give Up",11,4,7,34.4,129,161,0.8,0.77,,"-2.7%",,,,"55%","45%",,,"18%","41%","36%","35%",,,"40%","49.9%","48.5%",3.32,1.29,1.48
"2025-02-14","Team WE",10,1,9,32.7,109,185,0.59,0.9,,"-8.3%",,,,"30%","30%",,,"30%","50%","50%","35%",,,"30%","48.9%","46.9%",3.5,1.41,1.47
"2025-02-14","ThunderTalk Gaming",13,9,4,31.7,223,169,1.32,0.95,,"5.2%",,,,"62%","38%",,,"77%","58%","54%","65%",,,"69%","49.7%","54.0%",3.29,1.41,1.46
"2025-02-14","Top Esports",7,4,3,35.8,104,117,0.89,0.88,,"0.3%",,,,"29%","57%",,,"43%","43%","29%","33%",,,"30%","50.9%","52.9%",3.32,1.31,1.61
"2025-02-14","Ultra Prime",12,3,9,33.5,150,207,0.72,0.88,,"-5.0%",,,,"50%","42%",,,"58%","36%","42%","53%",,,"60%","48.7%","50.8%",3.37,1.51,1.52
"2025-02-14","Weibo Gaming",12,8,4,33.3,198,176,1.13,0.93,,"4.2%",,,,"58%","50%",,,"58%","51%","67%","60%",,,"54%","50.8%","50.4%",3.45,1.29,1.76
"2025-02-15","Anyone's Legend",11,9,2,35.4,226,148,1.53,0.96,,"6.2%",,,,"82%","64%",,,"64%","47%","64%","62%",,,"79%","50.7%","51.2%",3.42,1.35,1.76
"2025-02-15","Bilibili Gaming",11,8,3,30.4,174,133,1.31,0.91,,"3.5%",,,,"45%","82%",,,"18%","44%","55%","61%",,,"67%","51.5%","48.8%",3.29,1.26,1.61
"2025-02-15","EDward Gaming",10,4,6,33.1,122,143,0.85,0.8,,"-2.4%",,,,"40%","30%",,,"50%","52%","40%","43%",,,"46%","49.5%","47.8%",3.49,1.36,1.43
"2025-02-15","FunPlus Phoenix",10,1,9,32,97,186,0.52,0.88,,"-11.2%",,,,"30%","20%",,,"60%","42%","70%","37%",,,"22%","49.6%","45.5%",3.11,1.27,1.4
"2025-02-15","Invictus Gaming",11,7,4,32,176,139,1.27,0.89,,"5.4%",,,,"27%","73%",,,"55%","50%","64%","59%",,,"50%","51.2%","49.6%",3.23,1.24,1.57
"2025-02-15","JD Gaming",13,9,4,32.7,215,155,1.39,0.87,,"7.6%",,,,"62%","54%",,,"54%","56%","54%","48%",,,"33%","51.0%","52.3%",3.66,1.3,1.41
"2025-02-15","LGD Gaming",6,3,3,33.1,109,98,1.11,1.04,,"2.3%",,,,"50%","50%",,,"67%","64%","50%","74%",,,"50%","49.5%","49.5%",3.27,1.34,1.63
"2025-02-15","LNG Esports",10,1,9,33.1,82,159,0.52,0.73,,"-8.2%",,,,"50%","50%",,,"50%","45%","50%","26%",,,"21%","49.3%","48.3%",3.26,1.24,1.47
"2025-02-15","Ninjas in Pyjamas",10,9,1,32.1,182,98,1.86,0.87,,"8.3%",,,,"90%","60%",,,"70%","68%","30%","71%",,,"100%","49.2%","56.6%",3.07,1.13,1.49
"2025-02-15","Oh My God",13,5,8,32.9,174,205,0.85,0.89,,"-6.8%",,,,"31%","54%",,,"31%","55%","38%","40%",,,"53%","49.4%","46.7%",3.33,1.25,1.44
"2025-02-15","Royal Never Give Up",11,4,7,34.4,129,161,0.8,0.77,,"-2.7%",,,,"55%","45%",,,"18%","41%","36%","35%",,,"40%","49.9%","48.5%",3.32,1.29,1.48
"2025-02-15","Team WE",10,1,9,32.7,109,185,0.59,0.9,,"-8.3%",,,,"30%","30%",,,"30%","50%","50%","35%",,,"30%","48.9%","46.9%",3.5,1.41,1.47
"2025-02-15","ThunderTalk Gaming",13,9,4,31.7,223,169,1.32,0.95,,"5.2%",,,,"62%","38%",,,"77%","58%","54%","65%",,,"69%","49.7%","54.0%",3.29,1.41,1.46
"2025-02-15","Top Esports",7,4,3,35.8,104,117,0.89,0.88,,"0.3%",,,,"29%","57%",,,"43%","43%","29%","33%",,,"30%","50.9%","52.9%",3.32,1.31,1.61
"2025-02-15","Ultra Prime",12,3,9,33.5,150,207,0.72,0.88,,"-5.0%",,,,"50%","42%",,,"58%","36%","42%","53%",,,"60%","48.7%","50.8%",3.37,1.51,1.52
"2025-02-15","Weibo Gaming",12,8,4,33.3,198,176,1.13,0.93,,"4.2%",,,,"58%","50%",,,"58%","51%","67%","60%",,,"54%","50.8%","50.4%",3.45,1.29,1.76
"2025-02-16","Anyone's Legend",11,9,2,35.4,226,148,1.53,0.96,,"6.2%",,,,"82%","64%",,,"64%","47%","64%","62%",,,"79%","50.7%","51.2%",3.42,1.35,1.76
"2025-02-16","Bilibili Gaming",11,8,3,30.4,174,133,1.31,0.91,,"3.5%",,,,"45%","82%",,,"18%","44%","55%","61%",,,"67%","51.5%","48.8%",3.29,1.26,1.61
"2025-02-16","EDward Gaming",10,4,6,33.1,122,143,0.85,0.8,,"-2.4%",,,,"40%","30%",,,"50%","52%","40%","43%",,,"46%","49.5%","47.8%",3.49,1.36,1.43
"2025-02-16","FunPlus Phoenix",10,1,9,32,97,186,0.52,0.88,,"-11.2%",,,,"30%","20%",,,"60%","42%","70%","37%",,,"22%","49.6%","45.5%",3.11,1.27,1.4
"2025-02-16","Invictus Gaming",11,7,4,32,176,139,1.27,0.89,,"5.4%",,,,"27%","73%",,,"55%","50%","64%","59%",,,"50%","51.2%","49.6%",3.23,1.24,1.57
"2025-02-16","JD Gaming",13,9,4,32.7,215,155,1.39,0.87,,"7.6%",,,,"62%","54%",,,"54%","56%","54%","48%",,,"33%","51.0%","52.3%",3.66,1.3,1.41
"2025-02-16","LGD Gaming",9,3,6,33.8,152,152,1,1,,"0.9%",,,,"44%","33%",,,"56%","54%","56%","69%",,,"50%","49.3%","48.4%",3.21,1.29,1.53
"2025-02-16","LNG Esports",10,1,9,33.1,82,159,0.52,0.73,,"-8.2%",,,,"50%","50%",,,"50%","45%","50%","26%",,,"21%","49.3%","48.3%",3.26,1.24,1.47
"2025-02-16","Ninjas in Pyjamas",10,9,1,32.1,182,98,1.86,0.87,,"8.3%",,,,"90%","60%",,,"70%","68%","30%","71%",,,"100%","49.2%","56.6%",3.07,1.13,1.49
"2025-02-16","Oh My God",13,5,8,32.9,174,205,0.85,0.89,,"-6.8%",,,,"31%","54%",,,"31%","55%","38%","40%",,,"53%","49.4%","46.7%",3.33,1.25,1.44
"2025-02-16","Royal Never Give Up",11,4,7,34.4,129,161,0.8,0.77,,"-2.7%",,,,"55%","45%",,,"18%","41%","36%","35%",,,"40%","49.9%","48.5%",3.32,1.29,1.48
"2025-02-16","Team WE",10,1,9,32.7,109,185,0.59,0.9,,"-8.3%",,,,"30%","30%",,,"30%","50%","50%","35%",,,"30%","48.9%","46.9%",3.5,1.41,1.47
"2025-02-16","ThunderTalk Gaming",13,9,4,31.7,223,169,1.32,0.95,,"5.2%",,,,"62%","38%",,,"77%","58%","54%","65%",,,"69%","49.7%","54.0%",3.29,1.41,1.46
"2025-02-16","Top Esports",10,7,3,35.6,158,160,0.99,0.89,,"0.8%",,,,"40%","70%",,,"50%","50%","30%","35%",,,"33%","51.0%","53.2%",3.3,1.29,1.61
"2025-02-16","Ultra Prime",12,3,9,33.5,150,207,0.72,0.88,,"-5.0%",,,,"50%","42%",,,"58%","36%","42%","53%",,,"60%","48.7%","50.8%",3.37,1.51,1.52
"2025-02-16","Weibo Gaming",12,8,4,33.3,198,176,1.13,0.93,,"4.2%",,,,"58%","50%",,,"58%","51%","67%","60%",,,"54%","50.8%","50.4%",3.45,1.29,1.76
"2025-02-22","Anyone's Legend",5,3,2,29,77,52,1.48,0.89,,"5.9%",,,,"40%","60%",,,"80%","47%","40%","63%",,,"50%","50.7%","49.9%",3.26,1.43,1.4
"2025-02-22","JD Gaming",4,3,1,30.5,52,44,1.18,0.79,,"7.0%",,,,"25%","50%",,,"50%","33%","50%","53%",,,"75%","52.0%","53.7%",3.56,1.34,1.47
"2025-02-22","Ninjas in Pyjamas",5,2,3,29,52,77,0.68,0.89,,"-5.9%",,,,"60%","40%",,,"20%","53%","60%","38%",,,"50%","49.3%","50.1%",2.82,0.94,1.34
"2025-02-22","ThunderTalk Gaming",4,1,3,30.5,44,52,0.85,0.79,,"-7.0%",,,,"75%","50%",,,"50%","67%","50%","47%",,,"25%","48.0%","46.3%",3.35,1.35,1.33
"2025-02-23","Anyone's Legend",5,3,2,29,77,52,1.48,0.89,,"5.9%",,,,"40%","60%",,,"80%","47%","40%","63%",,,"50%","50.7%","49.9%",3.26,1.43,1.4
"2025-02-23","Bilibili Gaming",4,3,1,31.9,65,46,1.41,0.87,,"3.3%",,,,"75%","25%",,,"25%","33%","100%","56%",,,"75%","51.6%","51.5%",3.37,1.33,1.63
"2025-02-23","Invictus Gaming",4,1,3,36.4,67,71,0.94,0.95,,"1.1%",,,,"75%","0%",,,"100%","42%","100%","44%",,,"60%","49.1%","48.1%",2.96,1.1,1.76
"2025-02-23","JD Gaming",4,3,1,30.5,52,44,1.18,0.79,,"7.0%",,,,"25%","50%",,,"50%","33%","50%","53%",,,"75%","52.0%","53.7%",3.56,1.34,1.47
"2025-02-23","Ninjas in Pyjamas",5,2,3,29,52,77,0.68,0.89,,"-5.9%",,,,"60%","40%",,,"20%","53%","60%","38%",,,"50%","49.3%","50.1%",2.82,0.94,1.34
"2025-02-23","ThunderTalk Gaming",4,1,3,30.5,44,52,0.85,0.79,,"-7.0%",,,,"75%","50%",,,"50%","67%","50%","47%",,,"25%","48.0%","46.3%",3.35,1.35,1.33
"2025-02-23","Top Esports",4,3,1,36.4,71,67,1.06,0.95,,"-1.1%",,,,"25%","100%",,,"0%","58%","0%","56%",,,"40%","50.9%","51.9%",3.49,1.48,1.49
"2025-02-23","Weibo Gaming",4,1,3,31.9,46,65,0.71,0.87,,"-3.3%",,,,"25%","75%",,,"75%","67%","0%","44%",,,"25%","48.4%","48.5%",3.54,1.34,1.24
"2025-02-24","Anyone's Legend",5,3,2,29,77,52,1.48,0.89,,"5.9%",,,,"40%","60%",,,"80%","47%","40%","63%",,,"50%","50.7%","49.9%",3.26,1.43,1.4
"2025-02-24","Bilibili Gaming",8,6,2,31,155,89,1.74,0.98,,"7.4%",,,,"63%","63%",,,"25%","48%","75%","63%",,,"75%","51.1%","51.9%",3.42,1.22,1.47
"2025-02-24","Invictus Gaming",4,1,3,36.4,67,71,0.94,0.95,,"1.1%",,,,"75%","0%",,,"100%","42%","100%","44%",,,"60%","49.1%","48.1%",2.96,1.1,1.76
"2025-02-24","JD Gaming",4,3,1,30.5,52,44,1.18,0.79,,"7.0%",,,,"25%","50%",,,"50%","33%","50%","53%",,,"75%","52.0%","53.7%",3.56,1.34,1.47
"2025-02-24","Ninjas in Pyjamas",9,3,6,31.3,109,148,0.74,0.91,,"-3.9%",,,,"56%","44%",,,"33%","50%","67%","47%",,,"63%","49.3%","49.4%",2.84,0.98,1.35
"2025-02-24","ThunderTalk Gaming",8,2,6,30.3,87,142,0.61,0.94,,"-9.2%",,,,"63%","25%",,,"63%","52%","50%","38%",,,"25%","48.7%","47.0%",3.26,1.3,1.31
"2025-02-24","Top Esports",8,6,2,35.3,140,124,1.13,0.94,,"0.1%",,,,"38%","75%",,,"25%","56%","13%","50%",,,"36%","50.9%","51.7%",3.53,1.44,1.49
"2025-02-24","Weibo Gaming",4,1,3,31.9,46,65,0.71,0.87,,"-3.3%",,,,"25%","75%",,,"75%","67%","0%","44%",,,"25%","48.4%","48.5%",3.54,1.34,1.24
"2025-02-25","Anyone's Legend",10,6,4,32.7,151,112,1.35,0.8,,"1.1%",,,,"40%","50%",,,"40%","53%","40%","54%",,,"64%","50.1%","48.1%",3.34,1.39,1.49
"2025-02-25","Bilibili Gaming",8,6,2,31,155,89,1.74,0.98,,"7.4%",,,,"63%","63%",,,"25%","48%","75%","63%",,,"75%","51.1%","51.9%",3.42,1.22,1.47
"2025-02-25","Invictus Gaming",4,1,3,36.4,67,71,0.94,0.95,,"1.1%",,,,"75%","0%",,,"100%","42%","100%","44%",,,"60%","49.1%","48.1%",2.96,1.1,1.76
"2025-02-25","JD Gaming",9,5,4,33.8,112,118,0.95,0.76,,"5.1%",,,,"44%","56%",,,"78%","37%","56%","53%",,,"46%","51.2%","53.8%",3.69,1.38,1.5
"2025-02-25","Ninjas in Pyjamas",9,3,6,31.3,109,148,0.74,0.91,,"-3.9%",,,,"56%","44%",,,"33%","50%","67%","47%",,,"63%","49.3%","49.4%",2.84,0.98,1.35
"2025-02-25","ThunderTalk Gaming",8,2,6,30.3,87,142,0.61,0.94,,"-9.2%",,,,"63%","25%",,,"63%","52%","50%","38%",,,"25%","48.7%","47.0%",3.26,1.3,1.31
"2025-02-25","Top Esports",8,6,2,35.3,140,124,1.13,0.94,,"0.1%",,,,"38%","75%",,,"25%","56%","13%","50%",,,"36%","50.9%","51.7%",3.53,1.44,1.49
"2025-02-25","Weibo Gaming",4,1,3,31.9,46,65,0.71,0.87,,"-3.3%",,,,"25%","75%",,,"75%","67%","0%","44%",,,"25%","48.4%","48.5%",3.54,1.34,1.24
"2025-02-26","Anyone's Legend",10,6,4,32.7,151,112,1.35,0.8,,"1.1%",,,,"40%","50%",,,"40%","53%","40%","54%",,,"64%","50.1%","48.1%",3.34,1.39,1.49
"2025-02-26","Bilibili Gaming",12,7,5,31.4,207,149,1.39,0.94,,"4.8%",,,,"50%","67%",,,"33%","53%","67%","54%",,,"75%","50.5%","51.8%",3.37,1.23,1.42
"2025-02-26","Invictus Gaming",4,1,3,36.4,67,71,0.94,0.95,,"1.1%",,,,"75%","0%",,,"100%","42%","100%","44%",,,"60%","49.1%","48.1%",2.96,1.1,1.76
"2025-02-26","JD Gaming",9,5,4,33.8,112,118,0.95,0.76,,"5.1%",,,,"44%","56%",,,"78%","37%","56%","53%",,,"46%","51.2%","53.8%",3.69,1.38,1.5
"2025-02-26","Ninjas in Pyjamas",9,3,6,31.3,109,148,0.74,0.91,,"-3.9%",,,,"56%","44%",,,"33%","50%","67%","47%",,,"63%","49.3%","49.4%",2.84,0.98,1.35
"2025-02-26","ThunderTalk Gaming",8,2,6,30.3,87,142,0.61,0.94,,"-9.2%",,,,"63%","25%",,,"63%","52%","50%","38%",,,"25%","48.7%","47.0%",3.26,1.3,1.31
"2025-02-26","Top Esports",12,9,3,34.2,200,177,1.13,0.92,,"0.2%",,,,"42%","58%",,,"33%","50%","25%","55%",,,"33%","50.8%","50.6%",3.41,1.4,1.52
"2025-02-26","Weibo Gaming",4,1,3,31.9,46,65,0.71,0.87,,"-3.3%",,,,"25%","75%",,,"75%","67%","0%","44%",,,"25%","48.4%","48.5%",3.54,1.34,1.24
"2025-02-27","Anyone's Legend",10,6,4,32.7,151,112,1.35,0.8,,"1.1%",,,,"40%","50%",,,"40%","53%","40%","54%",,,"64%","50.1%","48.1%",3.34,1.39,1.49
"2025-02-27","Bilibili Gaming",12,7,5,31.4,207,149,1.39,0.94,,"4.8%",,,,"50%","67%",,,"33%","53%","67%","54%",,,"75%","50.5%","51.8%",3.37,1.23,1.42
"2025-02-27","Invictus Gaming",4,1,3,36.4,67,71,0.94,0.95,,"1.1%",,,,"75%","0%",,,"100%","42%","100%","44%",,,"60%","49.1%","48.1%",2.96,1.1,1.76
"2025-02-27","JD Gaming",13,6,7,33.5,143,180,0.79,0.74,,"1.2%",,,,"31%","54%",,,"69%","38%","38%","45%",,,"47%","50.7%","52.1%",3.65,1.33,1.46
"2025-02-27","Ninjas in Pyjamas",9,3,6,31.3,109,148,0.74,0.91,,"-3.9%",,,,"56%","44%",,,"33%","50%","67%","47%",,,"63%","49.3%","49.4%",2.84,0.98,1.35
"2025-02-27","ThunderTalk Gaming",8,2,6,30.3,87,142,0.61,0.94,,"-9.2%",,,,"63%","25%",,,"63%","52%","50%","38%",,,"25%","48.7%","47.0%",3.26,1.3,1.31
"2025-02-27","Top Esports",16,12,4,33.9,262,208,1.26,0.86,,"2.0%",,,,"56%","56%",,,"38%","52%","44%","59%",,,"37%","50.7%","50.9%",3.41,1.39,1.57
"2025-02-27","Weibo Gaming",4,1,3,31.9,46,65,0.71,0.87,,"-3.3%",,,,"25%","75%",,,"75%","67%","0%","44%",,,"25%","48.4%","48.5%",3.54,1.34,1.24
"2025-03-01","Anyone's Legend",14,7,7,32.4,212,191,1.11,0.89,,"-1.7%",,,,"50%","64%",,,"36%","54%","50%","52%",,,"53%","49.9%","47.9%",3.38,1.38,1.48
"2025-03-01","Bilibili Gaming",12,7,5,31.4,207,149,1.39,0.94,,"4.8%",,,,"50%","67%",,,"33%","53%","67%","54%",,,"75%","50.5%","51.8%",3.37,1.23,1.42
"2025-03-01","Invictus Gaming",4,1,3,36.4,67,71,0.94,0.95,,"1.1%",,,,"75%","0%",,,"100%","42%","100%","44%",,,"60%","49.1%","48.1%",2.96,1.1,1.76
"2025-03-01","JD Gaming",13,6,7,33.5,143,180,0.79,0.74,,"1.2%",,,,"31%","54%",,,"69%","38%","38%","45%",,,"47%","50.7%","52.1%",3.65,1.33,1.46
"2025-03-01","Ninjas in Pyjamas",9,3,6,31.3,109,148,0.74,0.91,,"-3.9%",,,,"56%","44%",,,"33%","50%","67%","47%",,,"63%","49.3%","49.4%",2.84,0.98,1.35
"2025-03-01","ThunderTalk Gaming",8,2,6,30.3,87,142,0.61,0.94,,"-9.2%",,,,"63%","25%",,,"63%","52%","50%","38%",,,"25%","48.7%","47.0%",3.26,1.3,1.31
"2025-03-01","Top Esports",20,15,5,33.5,341,269,1.27,0.91,,"3.4%",,,,"50%","45%",,,"45%","51%","40%","58%",,,"43%","50.7%","51.2%",3.45,1.41,1.58
"2025-03-01","Weibo Gaming",4,1,3,31.9,46,65,0.71,0.87,,"-3.3%",,,,"25%","75%",,,"75%","67%","0%","44%",,,"25%","48.4%","48.5%",3.54,1.34,1.24








