"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"First Stand 2025","2025-03-15","CTBC Flying Oyster",13,8,5,31,178,159,1.12,0.83,-0.21,"-0.5%",46,15.5,-460,"54%","54%","62%",4.6,"54%","49%","46%","53%","0%","54%","62%","49.5%","47.8%",3.64,1.51,1.45
"First Stand 2025","2025-03-15","Hanwha Life Esports",13,11,2,30.8,278,143,1.94,1.05,1.3,"11.7%",57,27.6,961,"46%","69%","92%",4.2,"62%","47%","46%","63%","0%","69%","83%","50.9%","55.5%",3.44,1.25,1.56
"First Stand 2025","2025-03-15","Karmine Corp",15,7,8,32.5,209,218,0.96,0.87,-0.12,"-0.2%",51.5,-4.8,0,"47%","47%","33%",3.9,"40%","43%","53%","46%","100%","40%","44%","50.4%","48.3%",3.31,1.21,1.58
"First Stand 2025","2025-03-15","Team Liquid",10,3,7,30,112,166,0.67,0.93,-0.93,"-9.7%",48.2,-18.2,-315,"60%","20%","10%",2.8,"30%","42%","60%","47%","100%","20%","29%","48.7%","45.3%",3.27,1.18,1.51
"First Stand 2025","2025-03-15","Top Esports",11,2,9,30.4,129,223,0.58,1.05,-0.27,"-4.0%",46,-27.8,-306,"45%","55%","45%",4,"64%","71%","45%","39%","0%","9%","13%","50.1%","52.7%",3.17,1.3,1.61
"First Stand 2025","2025-03-16","CTBC Flying Oyster",13,8,5,31,178,159,1.12,0.83,-0.21,"-0.5%",46,15.5,-460,"54%","54%","62%",4.6,"54%","49%","46%","53%","0%","54%","62%","49.5%","47.8%",3.64,1.51,1.45
"First Stand 2025","2025-03-16","Hanwha Life Esports",17,14,3,31.2,356,188,1.89,1.02,1.52,"11.7%",62.4,19.9,1338,"53%","76%","88%",4.1,"59%","53%","47%","66%","0%","71%","82%","50.8%","55.7%",3.42,1.26,1.59
"First Stand 2025","2025-03-16","Karmine Corp",19,8,11,32.5,254,296,0.86,0.89,-0.56,"-2.6%",44.9,-2.8,-540,"42%","37%","32%",3.5,"42%","40%","53%","42%","100%","37%","39%","50.3%","47.3%",3.33,1.22,1.57
"First Stand 2025","2025-03-16","Team Liquid",10,3,7,30,112,166,0.67,0.93,-0.93,"-9.7%",48.2,-18.2,-315,"60%","20%","10%",2.8,"30%","42%","60%","47%","100%","20%","29%","48.7%","45.3%",3.27,1.18,1.51
"First Stand 2025","2025-03-16","Top Esports",11,2,9,30.4,129,223,0.58,1.05,-0.27,"-4.0%",46,-27.8,-306,"45%","55%","45%",4,"64%","71%","45%","39%","0%","9%","13%","50.1%","52.7%",3.17,1.3,1.61
