teamA;teamB;winA;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B
30;79;1;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
84;79;1;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
74;81;0;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
61;35;1;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
33;30;0;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
61;30;1;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
35;33;1;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
84;61;1;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
74;72;0;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
79;33;1;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
81;84;1;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42
49;35;1;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
30;72;1;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
81;49;0;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6
35;74;0;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37
79;61;0;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
84;30;0;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
49;74;1;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37
72;33;0;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
81;79;1;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47
61;81;1;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
35;72;1;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
49;30;0;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
79;74;1;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37
33;81;1;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
79;49;0;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6
72;84;1;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42
74;30;1;1;19.0;4;0.52;1702.0;-260.0;14;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;14;8;4;-1240.0;19;0.32;23.5;32.2;2328.0;3.1;1.17;1.37;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
79;72;1;1;21.0;12;0.98;1786.0;-68.0;44;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;21;22;7;330.0;15;0.67;50.0;32.4;2602.0;3.4;1.33;1.47;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24
49;61;1;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
35;84;0;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59;1;21.0;17;0.89;1805.0;-51.0;31;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;27;10;5;-102.0;27;0.48;42.5;32.4;2581.0;3.5;1.42;1.42
33;61;1;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
72;81;0;1;20.0;3;0.79;1719.0;-176.0;41;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;4;22;1;-415.0;20;0.55;36.3;31.6;2432.0;3.5;1.21;1.24;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
30;35;1;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
33;61;0;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
61;49;1;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6
49;30;1;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53
49;81;1;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;25.0;18;0.81;1768.0;-126.0;38;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;7;20;1;-483.0;14;0.36;26.1;33.9;2486.0;3.3;1.21;1.57
30;35;1;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;25.0;18;0.88;1800.0;-53.0;37;12.9;14.6;5.8;6.8;36.0;40.0;52.0;2.12;43.6;2.9;56.0;7;16;1;27.0;14;0.72;47.0;33.0;2477.0;3.4;1.31;1.59
61;33;0;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
49;61;0;1;41.0;38;1.23;1924.0;170.0;33;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;31;18;6;25.0;28;0.83;72.8;34.3;2716.0;3.4;1.18;1.6;1;48.0;27;1.16;1841.0;22.0;40;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;22;11;1;17.0;21;0.58;48.1;34.2;2389.0;3.5;1.19;1.68
30;33;0;1;32.0;32;1.2;1903.0;124.0;22;15.9;13.2;7.0;5.0;59.4;50.0;50.0;2.34;53.1;2.1;53.1;37;16;6;335.0;33;0.66;54.0;34.2;2628.0;3.3;1.11;1.53;1;54.0;23;1.03;1833.0;21.0;35;13.0;12.6;6.4;5.8;50.0;53.7;53.7;2.35;49.5;1.7;50.0;25;23;6;178.0;29;0.65;54.2;33.5;2416.0;3.2;1.03;1.51
78;63;1;0;52.0;6;0.62;1764.0;-173.0;1;11.1;17.7;4.2;7.3;42.3;34.6;34.6;1.46;33.3;2.9;56.9;0;0;0;-908.0;0;0.23;28.5;33.1;2474.0;3.4;1.38;1.45;0;54.0;9;0.78;1801.0;-127.0;30;14.2;18.3;4.6;7.1;48.1;44.4;37.0;1.91;40.4;2.1;44.4;0;0;0;-780.0;0;0.56;45.5;32.5;2601.0;3.2;1.13;1.42
85;95;1;0;75.0;19;0.91;1840.0;-51.0;13;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;0;67.0;21;1.02;1823.0;-16.0;18;14.1;13.8;5.5;6.1;53.7;46.3;41.8;2.34;49.7;2.3;52.2;0;0;0;92.0;0;0.48;46.9;33.4;2474.0;3.4;1.29;1.55
9;44;1;0;91.0;36;1.2;1914.0;105.0;11;17.4;14.4;7.0;4.6;51.6;54.9;50.5;2.56;58.4;2.4;62.6;1;24;6;825.0;30;0.6;58.4;33.6;2814.0;3.3;1.3;1.58;0;75.0;31;1.08;1871.0;52.0;36;16.3;15.0;6.5;5.7;44.0;58.7;42.7;2.71;57.1;2.1;42.7;0;0;0;-2.0;0;0.72;57.7;33.1;2795.0;3.1;1.16;1.53
1;46;0;0;85.0;41;1.46;1928.0;151.0;15;18.0;12.3;6.9;4.3;62.4;70.6;70.6;2.59;59.0;2.3;58.3;2;4;6;581.0;3;0.67;65.0;34.0;2801.0;3.5;1.31;1.67;0;57.0;35;1.17;1898.0;85.0;22;16.2;13.7;6.9;5.2;42.1;35.1;22.8;2.25;50.9;1.9;61.4;0;0;0;219.0;0;0.56;55.0;34.1;2649.0;3.6;1.29;1.45
