teamA;teamB;winA
Team WE;Invictus Gaming;0
Anyone s Legend;Bilibili Gaming;1
Top Esports;Team WE;0
Weibo Gaming;Invictus Gaming;0
Team WE;JD Gaming;1
Funplus Phoenix;Invictus Gaming;0
Anyone s Legend;Weibo Gaming;1
Top Esports;Bilibili Gaming;0
JD Gaming;Weibo Gaming;0
Anyone s Legend;Team WE;1
Bilibili Gaming;Invictus Gaming;1
Top Esports;Funplus Phoenix;1
Weibo Gaming;TT;1
Team WE;LGD Gaming;1
Funplus Phoenix;Ninjas in Pyjamas;1
Invictus Gaming;Edward Gaming;1
Dplus KIA;KT Rolster;0
Dplus KIA;Nongshim RedForce;1
Hanwha Life eSports;BNK FearX;1
OK BRION;Gen.G eSports;0
KT Rolster;DRX;1
Dplus KIA;DN Freecs;1
Nongshim RedForce;T1;1
KT Rolster;Gen.G eSports;0
DRX;OK BRION;1
T1;Hanwha Life eSports;0
BNK FearX;DN Freecs;1
BNK FearX;KT Rolster;0
OK BRION;Nongshim RedForce;0
DN Freecs;T1;0
Hanwha Life eSports;Dplus KIA;0
Nongshim RedForce;KT Rolster;0
Gen.G eSports;DRX;1
T1;BNK FearX;1
OK BRION;Dplus KIA;1
DN Freecs;DRX;0
Gen.G eSports;Hanwha Life eSports;1
Gen.G eSports;T1;1
Hanwha Life eSports;DN Freecs;1
KT Rolster;OK BRION;1
DRX;Nongshim RedForce;0
DN Freecs;Gen.G eSports;0
Dplus KIA;BNK FearX;1
T1;OK BRION;1
KT Rolster;Hanwha Life eSports;1
DRX;Dplus KIA;0
BNK FearX;Nongshim RedForce;0
Hanwha Life eSports;DRX;1
Nongshim RedForce;DN Freecs;0
Gen.G eSports;BNK FearX;1
Dplus KIA;T1;0
OK BRION;Hanwha Life eSports;0
DN Freecs;KT Rolster;0
Nongshim RedForce;Gen.G eSports;0
T1;DRX;1
Dplus KIA;KT Rolster;0
BNK FearX;OK BRION;1
DN Freecs;OK BRION;0
KT Rolster;T1;0
DRX;BNK FearX;1
Gen.G eSports;Dplus KIA;1
Hanwha Life eSports;Nongshim RedForce;1
T1;DN Freecs;1
OK BRION;DRX;0
Gen.G eSports;KT Rolster;1
BNK FearX;Hanwha Life eSports;0
Nongshim RedForce;Dplus KIA;1
Dplus KIA;Hanwha Life eSports;0
OK BRION;T1;1
DRX;Gen.G eSports;0
DN Freecs;BNK FearX;0
T1;Dplus KIA;1
KT Rolster;Nongshim RedForce;0
Hanwha Life eSports;OK BRION;1
Gen.G eSports;DN Freecs;1
Nongshim RedForce;BNK FearX;1
DRX;KT Rolster;0
KT Rolster;DN Freecs;1
Dplus KIA;DRX;1
Nongshim RedForce;Hanwha Life eSports;0
Gen.G eSports;OK BRION;1
DN Freecs;Dplus KIA;0
BNK FearX;T1;1
OK BRION;KT Rolster;1
DRX;Hanwha Life eSports;0
BNK FearX;Gen.G eSports;0
T1;Nongshim RedForce;1
Nongshim RedForce;DRX;1
Dplus KIA;Gen.G eSports;0
KT Rolster;BNK FearX;1
Hanwha Life eSports;T1;1
Gen.G eSports;Nongshim RedForce;1
OK BRION;DN Freecs;1
T1;KT Rolster;1
BNK FearX;DRX;1
Dplus KIA;OK BRION;1
DN Freecs;Hanwha Life eSports;0
T1;Gen.G eSports;0
KT Rolster;Dplus KIA;0
DN Freecs;Nongshim RedForce;0
OK BRION;BNK FearX;0
DRX;T1;0
Hanwha Life eSports;KT Rolster;1
BNK FearX;Dplus KIA;0
Nongshim RedForce;OK BRION;1
DRX;DN Freecs;1
Hanwha Life eSports;Gen.G eSports;0
Hanwha Life eSports;T1;0
T1;KT Rolster;1
Gen.G eSports;Hanwha Life eSports;1
Nongshim RedForce;KT Rolster;0
KT Rolster;Dplus KIA;1
100 Thieves;Disguised;1
Team Liquid;Shopify Rebellion;1
LYON;Dignitas;0
Cloud9;FlyQuest;0
Disguised;LYON;0
FlyQuest;Dignitas;1
Shopify Rebellion;100 Thieves;1
Cloud9;Team Liquid;1
100 Thieves;Dignitas;1
LYON;Cloud9;0
Team Liquid;Disguised;1
FlyQuest;Shopify Rebellion;1
Dignitas;Shopify Rebellion;1
Cloud9;Disguised;1
Team Liquid;LYON;1
100 Thieves;FlyQuest;0
100 Thieves;Shopify Rebellion;1
Disguised;Team Liquid;1
LYON;Cloud9;0
FlyQuest;Dignitas;1
Dignitas;Disguised;1
Team Liquid;Shopify Rebellion;1
Cloud9;FlyQuest;1
LYON;100 Thieves;0
Disguised;Shopify Rebellion;0
Dignitas;100 Thieves;0
Cloud9;Team Liquid;1
FlyQuest;LYON;1
Cloud9;Dignitas;1
Team Liquid;LYON;1
Shopify Rebellion;FlyQuest;0
100 Thieves;Disguised;1
LYON;Shopify Rebellion;1
Dignitas;Team Liquid;0
100 Thieves;FlyQuest;0
Cloud9;Disguised;1
LYON;Dignitas;1
Disguised;FlyQuest;0
Team Liquid;100 Thieves;1
Shopify Rebellion;Cloud9;0
Disguised;LYON;0
Cloud9;100 Thieves;0
Shopify Rebellion;Dignitas;1
Team Liquid;FlyQuest;0
FlyQuest;Cloud9;1
Cloud9;Shopify Rebellion;1
Team Liquid;Shopify Rebellion;0
FlyQuest;Cloud9;1
100 Thieves;Shopify Rebellion;0
Team Liquid;Dignitas;1
Cloud9;Team Liquid;1
FlyQuest;Shopify Rebellion;1
Leviatan;RED Canids;0
LOUD;Vivo Keyd Stars;0
Fluxo;Isurus;0
paiN Gaming;FURIA;1
LOUD;RED Canids;1
FURIA;Fluxo;0
Leviatan;Vivo Keyd Stars;0
Isurus;paiN Gaming;0
Leviatan;Isurus;0
paiN Gaming;Vivo Keyd Stars;1
FURIA;RED Canids;1
Fluxo;LOUD;0
FURIA;LOUD;1
Fluxo;RED Canids;0
Vivo Keyd Stars;Isurus;1
paiN Gaming;Leviatan;1
Isurus;Leviatan;0
LOUD;FURIA;1
paiN Gaming;Vivo Keyd Stars;1
RED Canids;Fluxo;1
Vivo Keyd Stars;FURIA;0
Isurus;RED Canids;1
Fluxo;LOUD;0
paiN Gaming;Leviatan;1
Isurus;LOUD;0
Leviatan;Vivo Keyd Stars;1
Fluxo;paiN Gaming;0
RED Canids;FURIA;0
Fluxo;FURIA;0
RED Canids;paiN Gaming;0
Vivo Keyd Stars;Isurus;1
Leviatan;LOUD;0
FURIA;paiN Gaming;1
Leviatan;RED Canids;0
Isurus;Fluxo;0
LOUD;Vivo Keyd Stars;0
LOUD;paiN Gaming;0
Leviatan;Fluxo;1
Vivo Keyd Stars;RED Canids;1
FURIA;Isurus;1
LOUD;RED Canids;0
Vivo Keyd Stars;Fluxo;1
FURIA;Leviatan;0
Isurus;paiN Gaming;0
paiN Gaming;FURIA;0
Isurus;FURIA;0
paiN Gaming;FURIA;1
Isurus;Vivo Keyd Stars;1
Vivo Keyd Stars;RED Canids;1
LOUD;Isurus;0
Vivo Keyd Stars;FURIA;0
paiN Gaming;LOUD;1
CTBC Flying Oyster;Team Secret Whales;1
Fukuoka SoftBank HAWKS gaming;Chiefs Esports Club;1
MGN Vikings Esports;PSG Talon;0
GAM Esports;DetonatioN FocusMe;1
CTBC Flying Oyster;Fukuoka SoftBank HAWKS gaming;1
Chiefs Esports Club;Team Secret Whales;0
GAM Esports;PSG Talon;0
MGN Vikings Esports;DetonatioN FocusMe;1
CTBC Flying Oyster;Chiefs Esports Club;1
Team Secret Whales;Fukuoka SoftBank HAWKS gaming;1
MGN Vikings Esports;GAM Esports;1
PSG Talon;DetonatioN FocusMe;1
CTBC Flying Oyster;DetonatioN FocusMe;1
Team Secret Whales;MGN Vikings Esports;1
Fukuoka SoftBank HAWKS gaming;PSG Talon;0
GAM Esports;Chiefs Esports Club;1
PSG Talon;Team Secret Whales;0
MGN Vikings Esports;Chiefs Esports Club;1
GAM Esports;CTBC Flying Oyster;0
Fukuoka SoftBank HAWKS gaming;DetonatioN FocusMe;1
CTBC Flying Oyster;MGN Vikings Esports;1
Team Secret Whales;DetonatioN FocusMe;1
GAM Esports;Fukuoka SoftBank HAWKS gaming;1
Chiefs Esports Club;PSG Talon;0
GAM Esports;Team Secret Whales;1
DetonatioN FocusMe;Chiefs Esports Club;1
PSG Talon;CTBC Flying Oyster;0
Fukuoka SoftBank HAWKS gaming;MGN Vikings Esports;0
CTBC Flying Oyster;GAM Esports;1
PSG Talon;GAM Esports;0
GAM Esports;Team Secret Whales;1
CTBC Flying Oyster;PSG Talon;1
Team Secret Whales;PSG Talon;0
CTBC Flying Oyster;GAM Esports;1
GAM Esports;MGN Vikings Esports;1
PSG Talon;Fukuoka SoftBank HAWKS gaming;1
Eternal Fire;Bushido Wildcats;0
Besiktas Esports;Papara SuperMassive;0
BBL Dark Passage;ULF Esports;1
BoostGate Esports;Misa Esports;0
Eternal Fire;Misa Esports;0
ULF Esports;BoostGate Esports;0
Besiktas Esports;Bushido Wildcats;1
Papara SuperMassive;BBL Dark Passage;0
BoostGate Esports;Papara SuperMassive;1
BBL Dark Passage;Bushido Wildcats;1
Eternal Fire;Besiktas Esports;0
Misa Esports;ULF Esports;1
Besiktas Esports;Misa Esports;0
BBL Dark Passage;Eternal Fire;0
Bushido Wildcats;BoostGate Esports;0
Papara SuperMassive;ULF Esports;0
ULF Esports;Bushido Wildcats;1
Misa Esports;Papara SuperMassive;1
BBL Dark Passage;Besiktas Esports;1
BoostGate Esports;Eternal Fire;1
BBL Dark Passage;Misa Esports;0
ULF Esports;Eternal Fire;1
Besiktas Esports;BoostGate Esports;1
Papara SuperMassive;Bushido Wildcats;0
Papara SuperMassive;Eternal Fire;0
