Name;Season;Region;Games;Win rate;K:D;GPM;GDM;Game duration;Kills / game;Deaths / game;Towers killed;Towers lost;FB%;FT%;FOS%;DRAPG;DRA%;VGPG;HER%;ATAKHAN%;DRA@15;TD@15;GD@15;PPG;NASHPG;NASH%;CSM;DPM;WPM;VWPM;WCPM
Invictus Gaming;S15;CN;11;63.6%;1.25;1917;143;35:23;20.2;16.0;6.9;4.8;54.5;54.5;45.5;2.82;61.7;1.2;63.6;-;-;-;195;-;0.82;66.7;31.6;3215;3.4;1.29;1.58
JD Gaming;S15;CN;11;36.4%;0.68;1743;-145;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33;-;0.36;44.4;32.4;2372;3.5;1.29;1.31
Karmine Corp;S15;EUW;5;80.0%;2.07;1973;270;30:24;17.0;8.2;8.6;3.4;40.0;80.0;60.0;3.0;68.3;1.6;60.0;60.0;1.20;0.0;234;4.60;0.6;62.5;34.6;2592;3.4;1.21;1.53
KT Rolster;S15;KR;8;25.0%;0.79;1771;-188;32:20;14.4;18.3;3.8;7.5;25.0;25.0;25.0;1.63;35.4;2.0;12.5;37.5;0.63;-0.1;-1073;3.25;0.38;27.8;31.7;2586;3.5;1.34;1.49
LGD Gaming;S15;CN;13;53.8%;0.9;1856;9;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581;-;0.31;36.4;33.5;2395;3.1;1.13;1.58
LNG Esports;S15;CN;12;16.7%;0.58;1713;-244;33:22;10.2;17.6;3.5;7.7;66.7;58.3;33.3;1.42;26.5;1.9;41.7;-;-;-;228;-;0.17;18.2;33.0;2279;3.5;1.24;1.61
LYON;S15;;5;40.0%;0.7;1795;-153;30:00;12.4;17.6;5.2;7.0;60.0;40.0;60.0;2.2;45.0;1.6;40.0;60.0;1.00;0.2;454;3.40;0.2;20.0;31.5;2366;3.1;1.2;1.29
MGN Vikings Esports;S15;VN;4;100.0%;1.93;2007;353;34:42;20.3;10.5;9.3;3.5;75.0;50.0;50.0;2.75;59.2;2.5;100.0;50.0;0.25;0.0;1984;3.50;1.0;83.3;34.2;3267;3.8;1.15;1.49
Movistar KOI;S15;EUW;6;50.0%;0.82;1845;-67;30:15;13.3;16.2;5.0;6.0;16.7;50.0;50.0;1.83;41.7;2.3;66.7;33.3;0.50;0.2;-612;4.67;0.33;40.0;34.1;2380;3.3;1.09;1.82
Natus Vincere;S15;EUW;2;0.0%;0.27;1618;-467;26:56;5.0;18.5;1.5;10.0;50.0;-;-;0.0;0.0;1.0;50.0;50.0;0.00;-0.5;-2427;2.50;0.0;0.0;31.9;1953;2.9;0.81;1.0
Ninjas in Pyjamas;S15;CN;10;60.0%;1.26;1850;54;32:35;13.5;10.6;5.9;5.0;60.0;50.0;60.0;2.4;54.3;1.3;60.0;-;-;-;-80;-;0.8;70.8;34.1;2333;3.6;1.32;1.63
Nongshim RedForce;S15;KR;8;0.0%;0.41;1719;-351;30:09;9.3;22.4;3.1;8.3;37.5;37.5;25.0;0.88;20.8;1.4;37.5;12.5;0.38;-0.3;-1171;2.63;0.25;19.0;32.0;2387;3.5;1.37;1.26
