Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Panda2; LB;19;36.8%;3.2;4.6;3.5;6.6;8.2;398;55.2%;22.9;621;0.79;0.36;0.13;0.17;-333;-13;-272;5.3%;0%;0;11
Paparotis; GR;14;7.1%;1.6;1.1;3.4;4.4;8.2;354;53.7%;20.2;465;0.54;0.21;0.13;0.02;-766;-11;-250;7.1%;7.1%;0;-
PapiTeero; PT;11;9.1%;1.4;2.0;3.9;3.5;7.7;358;41.3%;20.3;522;0.83;0.26;0.15;0.08;-261;-2;-155;0%;27.3%;0;4
Paresz; HU;7;42.9%;3.3;5.3;4.7;10.1;5.9;391;72.1%;15.3;521;1.04;0.17;0.24;0.12;-63;-8;-282;28.6%;0%;0;1
Parus; TR;21;38.1%;3.2;0.9;3.5;10.5;1.0;241;77.2%;7.1;183;3.87;1.98;0.47;0.54;87;2;-2;38.1%;19%;0;-
Passzi; HU;24;58.3%;3.8;1.1;3.6;12.5;0.9;258;71.2%;7.3;207;3.17;1.72;0.31;0.53;-141;-8;-430;25%;4.2%;0;1
Patch; KR;39;69.2%;3.5;1.1;4.1;13.3;0.9;256;72.3%;7.7;232;3.45;1.77;0.36;0.57;91;-3;-235;30.8%;7.7%;0;1
PatkicaA; RS;14;42.9%;2.6;2.9;3.0;4.9;7.6;380;56.3%;21.8;545;0.71;0.29;0.11;0.11;-56;-3;-68;21.4%;14.3%;0;4
Patrik; CZ;20;25%;2.9;3.6;2.8;4.5;8.7;395;63.9%;29.7;726;1.01;0.37;0.26;0.08;-257;-4;-23;25%;5%;0;2
Paulcannon; IT;10;0%;1.8;0.7;4.2;6.7;0.9;220;69.1%;6.1;132;3.25;1.76;0.3;0.41;-241;-4;-474;30%;40%;0;-
Pbd; TR;2;0%;0.9;0.0;4.5;4.0;1.0;207;50%;6.9;185;2.86;1.51;0.31;0.21;-184;-0;502;50%;0%;0;-
Pcelica; ME;10;0%;1.2;2.3;4.3;2.7;7.8;367;55.4%;19.9;409;0.53;0.29;0.08;0.01;-1066;-14;-878;10%;10%;0;5
Peanut; KR;50;66%;3.8;2.9;2.9;8.2;6.5;363;69.5%;15.6;432;1.5;0.31;0.36;0.27;5;-0;-5;32%;2%;0;5
Peng; SE;18;44.4%;5.1;3.9;2.3;7.9;8.0;402;63.9%;24.6;680;1.0;0.34;0.2;0.17;139;0;48;5.6%;0%;0;6
Peppe; GR;34;70.6%;4.5;5.7;2.9;7.4;9.0;458;60.1%;24.7;716;1.16;0.38;0.24;0.22;309;7;203;23.5%;2.9%;0;21
PerfecT; KR;55;69.1%;3.7;2.9;2.6;6.8;7.8;385;55.6%;20.9;573;1.11;0.47;0.18;0.25;-33;-1;-54;21.8%;10.9%;0;10
Perle; JP;5;20%;2.0;2.0;2.8;3.6;7.5;345;38.1%;20.1;402;0.81;0.38;0.07;0.03;-884;-19;-538;40%;0%;0;3
Pesho; MK;26;69.2%;5.7;4.8;2.1;7.2;8.8;439;63.7%;28.0;787;0.69;0.3;0.11;0.09;402;5;377;26.9%;7.7%;0;11
Peter; KR;57;56.1%;3.3;0.7;3.4;10.6;1.1;252;75.2%;7.7;199;3.72;1.84;0.52;0.54;46;1;-141;47.4%;19.3%;0;1
Peto; SK;31;80.6%;4.2;0.8;3.4;13.5;1.0;261;66.6%;6.6;214;3.32;1.56;0.41;0.41;31;2;-34;19.4%;9.7%;0;1
Peyz; KR;57;61.4%;6.8;5.1;1.8;6.7;9.8;460;69.9%;27.9;744;1.26;0.43;0.39;0.14;209;-;-;-;-;-;-
Phantasm; DE;39;66.7%;4.6;5.8;2.8;6.8;8.4;434;63.5%;26.3;805;0.71;0.26;0.14;0.05;-119;-8;-72;20.5%;10.3%;1;14
Phoenix; BE;10;30%;1.3;2.0;4.8;4.0;7.9;368;39.9%;20.6;525;0.87;0.33;0.14;0.08;-620;-2;-271;20%;20%;0;1
Photic; CN;6;0%;2.1;2.5;2.8;3.3;8.9;389;65%;27.9;623;0.92;0.39;0.25;0.08;-430;-;-;-;-;-;-
Photon; KR;17;41.2%;3.6;3.2;2.1;4.2;9.0;415;56.8%;25.7;657;1.07;0.31;0.24;0.08;297;9;146;0%;0%;0;5
Phuc1; VN;35;48.6%;2.7;3.0;4.2;8.1;6.3;358;68%;15.4;448;1.56;0.43;0.31;0.41;83;5;139;40%;5.7%;0;6
PhyMini; US;20;20%;2.0;2.7;3.3;3.9;9.0;399;63.6%;29.0;681;0.95;0.41;0.15;0.12;-294;-3;-163;30%;20%;0;3
Phyraxx; FR;9;44.4%;2.9;2.7;2.7;5.0;7.7;383;42.8%;20.3;547;0.81;0.41;0.11;0.12;229;-4;-74;22.2%;11.1%;0;5
Piccolo; VN;11;36.4%;2.9;1.6;4.9;12.8;1.2;276;77.6%;8.9;246;3.71;1.66;0.56;0.48;180;1;-244;36.4%;18.2%;0;-
Piero; KR;40;60%;4.0;0.9;3.2;11.9;0.9;260;76.9%;7.3;196;3.59;1.78;0.43;0.41;129;-2;61;32.5%;5%;0;-
Pigeonx; GR;9;22.2%;1.5;0.2;6.4;9.7;1.1;241;57.8%;7.7;204;3.6;1.63;0.5;0.43;-274;-2;-370;0%;44.4%;0;-
Pika1; TW;31;16.1%;1.8;4.1;5.0;5.1;8.3;410;53.5%;24.8;712;0.92;0.35;0.26;0.11;-277;0;-174;19.4%;9.7%;0;4
Pinki; RS;10;50%;5.4;4.9;2.2;7.0;9.0;451;64.7%;26.2;689;0.82;0.37;0.18;0.07;370;2;192;30%;10%;0;2
Pipibaat; NL;26;38.5%;2.8;2.8;3.5;7.0;6.3;360;71.7%;17.8;489;1.39;0.21;0.33;0.17;37;2;-99;42.3%;3.8%;0;1
Pl0x; RS;17;35.3%;2.4;3.5;3.6;5.4;8.1;389;59.9%;26.9;755;0.76;0.29;0.18;0.06;3;9;-69;29.4%;0%;0;5
Pleata; KR;41;58.5%;3.3;0.7;3.4;10.7;1.0;248;75%;7.1;196;3.75;2.08;0.42;0.56;21;-2;121;56.1%;2.4%;0;-
PmK; PL;15;26.7%;2.5;5.6;4.1;4.7;7.7;408;54.2%;27.9;748;0.78;0.34;0.14;0.11;-1;-2;164;20%;13.3%;0;17
Pobelter; US;38;63.2%;5.0;3.7;2.2;7.1;8.7;426;68.2%;25.5;677;0.97;0.39;0.18;0.1;212;5;89;18.4%;7.9%;0;9
Poby; KR;43;51.2%;3.8;3.2;2.5;6.3;9.5;431;62.3%;26.9;736;1.11;0.46;0.23;0.19;24;7;141;7%;11.6%;1;8
Pockus; CA;20;20%;2.0;0.7;3.8;6.9;1.0;231;73.1%;7.0;162;3.43;1.75;0.43;0.52;4;-3;176;20%;10%;0;-
Pollu; KR;47;36.2%;2.5;0.3;3.5;8.5;0.9;230;71.6%;7.6;182;3.5;1.96;0.34;0.55;-118;-3;-168;48.9%;8.5%;0;-
Polychiki; FR;18;33.3%;2.0;1.1;5.4;9.5;1.0;242;68.9%;8.1;219;2.73;1.28;0.29;0.21;-18;1;-15;16.7%;0%;0;1
Potent; FR;22;72.7%;2.9;3.6;3.2;5.8;8.6;432;50.1%;23.3;653;0.94;0.38;0.15;0.1;638;15;426;22.7%;18.2%;0;21
Pout; KR;16;68.8%;6.9;5.2;2.2;9.8;8.9;439;69.9%;26.8;823;1.03;0.35;0.18;0.22;100;-0;91;0%;12.5%;0;4
PowerOfEvil; DE;21;38.1%;5.1;4.8;2.0;5.8;9.2;441;66.8%;27.4;745;0.88;0.39;0.14;0.12;60;-2;21;19%;0%;0;8
Ppgod; CN;54;35.2%;2.5;0.5;4.2;9.9;1.1;238;70.4%;7.1;184;3.34;1.87;0.35;0.56;-62;-;-;-;-;-;-
Pretender; HK;42;69%;5.3;3.8;2.2;8.0;8.4;422;59.3%;24.9;752;0.95;0.4;0.18;0.15;45;1;80;14.3%;7.1%;0;16
Prime; FR;19;52.6%;3.8;0.6;3.1;11.1;0.9;240;74.7%;7.1;192;3.7;2.0;0.41;0.63;123;-2;-133;21.1%;10.5%;0;-
ProDelta; BR;16;31.3%;1.8;0.4;3.6;6.1;1.3;229;57.4%;8.0;152;3.48;1.72;0.44;0.52;-45;4;21;25%;12.5%;0;1
Puddin; VN;39;56.4%;5.2;5.0;2.3;6.8;9.2;449;68.2%;27.4;753;1.45;0.44;0.49;0.12;143;3;110;23.1%;10.3%;1;3
Pun; VN;39;56.4%;2.8;2.9;3.5;7.0;7.8;388;55%;23.7;643;0.95;0.37;0.13;0.16;123;-4;128;2.6%;10.3%;0;14
Pungyeon; KR;48;39.6%;2.4;2.9;3.4;5.3;9.1;412;62.8%;26.3;679;1.15;0.42;0.27;0.2;-70;3;-110;12.5%;16.7%;0;11
Putin; GT;23;43.5%;2.0;2.8;3.8;4.8;8.0;390;47%;20.8;569;0.85;0.32;0.16;0.13;-83;-3;-119;4.3%;8.7%;0;9
Pyeonsik; KR;46;43.5%;3.8;4.4;2.9;6.5;8.9;422;68.3%;26.4;700;1.2;0.47;0.32;0.19;-195;-4;-289;30.4%;6.5%;0;7
Pyosik; KR;42;21.4%;2.4;2.2;3.2;5.5;6.3;342;74.2%;14.8;346;1.58;0.38;0.39;0.34;-212;-4;-192;21.4%;9.5%;0;3
Qats; BR;11;45.5%;3.6;3.6;3.2;7.8;8.0;403;69.9%;22.9;589;1.13;0.51;0.18;0.28;-360;2;-24;9.1%;18.2%;0;1
Quad; KR;41;70.7%;4.8;3.6;2.3;7.3;8.2;405;66%;23.7;660;1.16;0.51;0.19;0.21;-56;-3;-143;22%;4.9%;0;6
Quantum; KR;41;53.7%;3.6;0.9;3.2;10.8;1.1;258;78.9%;7.6;206;3.59;1.77;0.46;0.41;86;1;130;24.4%;9.8%;0;1
Quid; KR;19;52.6%;4.3;4.5;2.7;7.0;8.9;428;75.4%;28.2;801;1.19;0.43;0.32;0.18;294;10;214;31.6%;5.3%;0;4
Qwacker; US;22;45.5%;2.7;3.9;3.7;6.1;7.5;384;64.8%;23.8;593;0.72;0.36;0.1;0.11;0;0;-73;22.7%;13.6%;0;6
R0se; KR;26;57.7%;3.0;6.5;4.0;5.8;7.5;436;59.9%;25.8;808;0.79;0.29;0.16;0.15;540;0;172;30.8%;11.5%;1;40
REAVER; GR;34;70.6%;4.2;0.9;3.6;14.1;1.1;260;69.5%;6.7;190;3.35;1.67;0.38;0.44;88;2;-36;50%;14.7%;0;-
REV; SA;5;0%;1.3;3.0;5.4;4.2;7.2;351;62.5%;23.3;587;0.64;0.35;0.06;0.03;-1390;-19;-1075;20%;0%;0;2
RKR; DE;19;26.3%;1.6;2.4;4.1;4.3;8.2;376;70%;28.0;655;1.02;0.35;0.23;0.17;-311;-5;-315;15.8%;26.3%;0;3
RYue; TW;41;68.3%;3.2;5.3;3.5;6.0;8.2;443;47.9%;25.0;838;0.73;0.29;0.14;0.08;521;10;291;9.8%;2.4%;1;25
Rabble; NL;42;54.8%;3.5;3.9;3.5;8.3;6.5;379;71.3%;18.8;537;1.18;0.27;0.23;0.19;51;-2;-76;40.5%;9.5%;0;9
Rabelo; BR;8;100%;8.6;6.6;2.0;10.5;8.7;462;69.2%;25.2;834;1.21;0.4;0.38;0.13;219;-3;-64;75%;0%;0;-
Racon; JP;9;11.1%;2.4;3.3;4.2;6.9;6.2;345;77.2%;19.0;440;1.14;0.25;0.25;0.26;34;1;6;22.2%;11.1%;0;1
RafBin; PL;8;12.5%;2.0;2.5;2.5;2.4;9.1;390;59.8%;26.6;603;0.68;0.26;0.15;0.06;-484;-8;-141;25%;0%;0;-
Ragner; TR;24;54.2%;3.0;2.1;2.5;5.5;7.9;371;48.4%;20.3;544;0.93;0.43;0.15;0.18;-253;-9;-289;8.3%;8.3%;0;5
Raina; JP;27;85.2%;4.9;1.2;3.4;15.6;1.0;281;76.3%;7.0;216;3.34;1.66;0.41;0.51;215;-3;93;29.6%;18.5%;0;-
Raining; SK;31;80.6%;4.3;5.0;2.8;7.2;9.4;468;60%;27.6;880;0.85;0.4;0.15;0.08;321;6;244;16.1%;19.4%;0;12
Raizy; GR;10;10%;1.2;2.4;4.1;2.5;7.5;354;50.3%;29.4;679;0.78;0.33;0.14;0.11;-728;-11;-155;0%;0%;0;-
Ralf; GR;9;44.4%;4.1;4.8;3.2;8.3;8.1;414;64.7%;23.6;728;1.05;0.4;0.22;0.14;-125;-2;-61;0%;0%;0;2
Rames; TR;15;40%;3.7;3.1;2.9;7.5;6.4;346;77.7%;17.5;449;1.36;0.3;0.28;0.25;-27;1;-1;26.7%;20%;0;2
Ramune; JP;15;53.3%;3.9;4.4;3.2;8.2;8.2;410;61%;24.9;705;0.93;0.33;0.18;0.17;-63;1;-99;13.3%;13.3%;0;8
Random; CZ;42;54.8%;4.1;4.7;2.9;6.9;9.0;436;66.6%;27.6;790;0.94;0.4;0.16;0.13;174;5;193;26.2%;11.9%;0;15
RapMonsters; PT;16;56.3%;4.2;4.3;2.4;5.9;7.4;386;58.1%;23.8;685;0.73;0.3;0.16;0.04;-268;-3;-74;37.5%;0%;0;5
Raptor; KR;46;37%;2.8;3.0;3.3;6.5;6.3;356;70.2%;17.8;471;1.43;0.3;0.32;0.26;-148;-2;-98;34.8%;6.5%;0;6
Raxxo; PL;17;41.2%;2.8;0.8;4.3;11.4;1.0;244;80.1%;8.2;223;3.12;1.57;0.29;0.33;-13;2;224;23.5%;23.5%;0;-
RayFarky; JP;16;18.8%;1.6;1.4;3.6;4.5;7.2;337;60.3%;20.5;466;0.89;0.34;0.14;0.19;-384;-9;-247;6.3%;6.3%;0;-
Rayito; ES;15;53.3%;4.8;3.9;2.3;7.0;8.9;428;66.7%;27.5;730;0.79;0.37;0.18;0.09;-192;-8;-228;6.7%;6.7%;0;-
Razer; JP;15;26.7%;2.1;2.5;4.1;5.9;7.7;365;63.6%;24.4;633;0.81;0.36;0.13;0.13;-817;-10;-418;6.7%;26.7%;0;3
Razork; ES;32;59.4%;4.0;3.1;2.9;8.3;6.4;370;71.5%;18.6;487;1.49;0.28;0.39;0.23;75;1;104;43.8%;9.4%;0;5
RealR; PT;5;40%;2.7;3.4;3.8;6.8;6.1;356;57.7%;16.0;375;1.18;0.19;0.27;0.14;-666;-14;-791;0%;0%;0;2
Reaper; BR;8;25%;2.5;1.3;4.3;9.4;1.1;252;76.1%;8.0;231;3.49;1.79;0.45;0.49;-21;1;-269;0%;12.5%;0;2
Recap; JP;27;85.2%;7.9;4.0;1.9;10.6;8.0;423;66.4%;22.3;705;1.2;0.52;0.22;0.26;305;7;286;25.9%;11.1%;0;8
RedBert; BR;26;46.2%;2.8;0.5;3.0;7.8;1.0;236;68.1%;6.4;155;3.41;1.87;0.35;0.46;-53;-0;-125;11.5%;11.5%;0;1
Reje; DK;14;28.6%;2.1;3.4;3.9;4.6;8.6;412;59.6%;26.1;713;0.6;0.26;0.17;0.01;-262;-9;-277;28.6%;0%;0;2
Rekkles; SE;41;82.9%;14.4;1.0;1.1;14.8;1.5;284;78.2%;7.6;218;3.52;1.64;0.49;0.39;170;8;770;24.4%;0%;0;3
Relative; DE;25;44%;3.2;4.7;3.4;6.2;8.6;430;70.3%;24.3;614;0.97;0.34;0.18;0.19;-185;-4;-174;4%;0%;1;12
Relax; PE;8;25%;2.3;1.4;6.1;13.0;1.0;250;75.2%;6.9;192;3.55;1.71;0.52;0.59;151;1;22;37.5%;12.5%;0;-
RenYe; TW;35;48.6%;3.7;5.7;3.5;7.3;6.0;388;68.3%;16.6;486;1.19;0.33;0.21;0.22;-4;-8;-98;37.1%;11.4%;0;16
Rend; GR;1;0%;1.6;1.0;5.0;7.0;7.8;352;40%;18.0;607;0.64;0.41;0.11;0.11;-894;3;-512;0%;0%;0;-
Renewal; FR;7;0%;1.9;2.1;3.3;4.1;5.6;312;66.6%;16.7;364;1.01;0.19;0.23;0.19;-348;-10;-607;42.9%;0%;0;-
Reptile; DE;39;66.7%;4.5;5.5;2.7;6.5;9.2;468;61.8%;23.3;707;0.8;0.26;0.23;0.01;-29;1;-173;25.6%;0%;0;5
Rest; TW;19;57.9%;2.7;2.3;2.7;5.1;8.2;395;51%;22.1;530;0.99;0.47;0.14;0.14;-292;-5;41;5.3%;10.5%;0;5
Rexat; DE;2;0%;2.8;0.5;5.0;13.5;1.2;252;77.9%;8.1;205;3.29;1.54;0.49;0.28;-84;-4;-150;50%;0%;0;-
Rhilech; TR;49;65.3%;4.6;3.3;2.5;8.2;7.2;389;74.9%;17.6;456;1.48;0.29;0.36;0.26;182;6;271;36.7%;10.2%;0;9
Rhino; US;21;28.6%;2.2;0.9;3.9;7.9;1.0;243;67.2%;7.9;210;2.93;1.45;0.36;0.26;-130;-0;-148;14.3%;0%;0;-
Rhuckz; PT;15;40%;3.0;0.7;4.0;11.5;1.1;236;73.7%;6.9;189;3.3;1.73;0.35;0.41;-99;1;-53;33.3%;13.3%;0;-
Rhythm; GB;7;0%;1.4;2.1;3.3;2.6;8.6;372;52.8%;26.8;566;0.81;0.4;0.1;0.1;-546;-8;-122;14.3%;14.3%;0;-
Rich; KR;42;33.3%;2.1;2.7;3.3;4.3;8.0;380;53.9%;26.4;637;1.18;0.44;0.25;0.14;-203;-4;-201;7.1%;14.3%;0;13
Rigel; VN;34;50%;2.6;2.9;3.2;5.4;8.1;389;51.4%;21.7;609;1.05;0.5;0.14;0.23;-10;5;203;11.8%;8.8%;0;11
Rilski; BG;6;33.3%;1.7;0.3;4.5;7.2;1.0;230;58.9%;7.7;185;2.7;1.21;0.33;0.27;-250;-0;-313;16.7%;0%;0;-
Rin; DZ;36;58.3%;4.3;4.5;2.6;6.6;9.4;447;67.8%;28.2;795;1.24;0.45;0.34;0.11;420;11;305;33.3%;11.1%;1;3
Ripper1; FR;9;44.4%;2.6;5.1;4.1;5.6;8.0;410;65%;29.4;797;0.77;0.35;0.07;0.04;219;-6;-19;22.2%;0%;0;13
River; KR;19;52.6%;3.5;3.0;3.3;8.6;6.5;361;75.8%;18.4;515;1.51;0.33;0.32;0.26;112;-0;87;26.3%;0%;0;3
Roamer; KR;29;69%;4.6;3.8;2.4;7.3;8.5;416;67.4%;26.6;726;1.12;0.4;0.25;0.21;18;1;36;17.2%;10.3%;0;7
Robo; BR;26;46.2%;1.8;3.0;4.2;4.5;8.6;408;61.3%;25.0;585;0.91;0.31;0.18;0.15;543;8;331;26.9%;19.2%;0;13
Rocklho; DE;25;44%;1.9;2.4;3.9;5.2;7.5;369;50.6%;21.1;521;0.68;0.34;0.1;0.09;-467;-11;-218;20%;12%;0;7
Roi DEMON; FR;18;33.3%;2.4;3.1;4.4;7.3;5.5;333;73.2%;19.9;527;1.06;0.25;0.23;0.16;-484;-12;-540;27.8%;5.6%;0;1
Roison; PL;22;50%;4.0;4.7;3.2;8.0;7.6;397;73%;28.5;842;0.57;0.28;0.1;0.05;-275;-8;-373;27.3%;9.1%;0;8
Ronaldo; RO;9;33.3%;2.9;4.2;3.3;5.3;8.7;419;64%;28.5;754;0.88;0.26;0.19;0.12;15;-5;145;33.3%;11.1%;0;5
Roo; DE;14;35.7%;3.5;1.2;3.6;11.5;0.9;249;78%;7.0;180;3.06;1.54;0.3;0.48;-56;-1;41;28.6%;7.1%;0;1
RooKie; KR;75;58.7%;4.6;3.8;2.5;7.8;8.4;408;66.8%;24.8;692;1.17;0.39;0.23;0.22;-108;-;-;-;-;-;-
Rooster; KR;46;43.5%;3.6;3.7;2.8;6.2;8.2;403;62.8%;25.2;664;0.85;0.31;0.13;0.13;412;8;316;6.5%;4.3%;0;15
Route; KR;26;46.2%;4.6;3.0;1.7;4.9;9.4;425;63.5%;27.1;653;1.27;0.52;0.3;0.22;-189;-4;86;11.5%;11.5%;0;1
Rovex; CA;22;45.5%;2.7;0.7;3.9;9.9;1.0;236;65.7%;6.3;156;3.06;1.47;0.35;0.28;-83;3;137;31.8%;4.5%;0;1
Rozpier; PT;16;56.3%;5.2;0.6;2.6;12.8;1.0;249;73.8%;5.7;158;3.12;1.51;0.37;0.3;74;1;157;31.3%;0%;0;-
Ruep; TR;14;21.4%;2.5;3.5;3.3;4.6;9.2;411;69.9%;28.6;749;1.11;0.37;0.29;0.13;135;9;72;42.9%;14.3%;0;4
Ruler; KR;65;78.5%;7.2;5.8;1.7;6.2;9.7;473;72.7%;26.8;768;1.36;0.43;0.41;0.17;227;3;111;27.7%;6.2%;0;3
Rust; AE;14;35.7%;4.0;6.0;3.6;8.1;8.6;426;65%;28.0;826;0.81;0.34;0.17;0.08;157;7;-26;42.9%;21.4%;0;4
RustySniper; SE;9;0%;1.5;3.0;4.0;3.1;8.6;405;67.7%;30.3;697;0.7;0.25;0.23;0.01;-168;-2;42;22.2%;11.1%;0;1
Rwei; TW;10;20%;2.0;2.6;4.7;6.9;5.8;331;66.5%;15.9;426;1.3;0.27;0.29;0.23;-604;-3;-446;20%;10%;0;-
Rybson; PL;39;61.5%;4.1;3.4;3.1;9.1;5.9;358;68.5%;17.4;495;1.21;0.32;0.25;0.25;61;2;131;25.6%;7.7%;0;2
Ryo; JP;7;42.9%;3.5;5.0;3.7;8.0;6.6;391;73.7%;17.4;458;1.24;0.24;0.29;0.18;-480;-7;-424;14.3%;0%;0;2
SMILEY; SE;11;45.5%;4.8;5.5;2.8;8.2;9.0;454;76.7%;29.3;794;1.07;0.4;0.32;0.1;-126;4;119;18.2%;9.1%;1;3
SUISEI;;2;0%;0.7;2.0;6.0;2.0;7.1;341;65.7%;18.3;402;1.02;0.26;0.16;0.12;-204;11;466;50%;0%;0;-
Saber; CN;28;42.9%;4.4;2.8;2.0;6.0;8.4;384;65.6%;23.0;538;1.12;0.42;0.22;0.22;-176;-;-;-;-;-;-
Sacre; HR;21;28.6%;2.3;2.6;3.0;4.4;8.8;396;47.5%;25.5;692;1.06;0.44;0.17;0.1;237;9;96;9.5%;14.3%;0;8
Sadaz; IT;20;45%;3.9;4.5;2.7;5.9;8.8;413;55.6%;24.3;631;0.82;0.26;0.19;0.08;-34;5;210;10%;5%;0;8
Saifer; AR;13;30.8%;3.3;3.7;2.8;5.5;7.9;387;71.7%;24.5;602;1.1;0.49;0.19;0.21;-142;-3;-198;7.7%;23.1%;0;2
Saii; TW;9;33.3%;2.2;5.2;4.6;5.0;8.0;401;68.6%;32.8;964;0.88;0.45;0.13;0.11;123;11;178;22.2%;11.1%;0;2
Saint; KR;17;41.2%;3.6;4.1;2.6;5.5;9.2;435;66.5%;28.2;724;1.31;0.34;0.37;0.17;-107;0;-108;17.6%;11.8%;0;4
Sajator; CZ;36;58.3%;3.9;4.1;2.6;6.3;8.3;411;64.4%;22.9;642;1.03;0.37;0.25;0.17;147;2;18;19.4%;13.9%;0;14
Samikin; KH;22;45.5%;4.0;4.0;2.8;7.1;8.3;400;69.8%;27.7;703;1.04;0.43;0.2;0.16;-164;-7;-303;27.3%;9.1%;0;6
Samver; KR;27;85.2%;7.1;7.1;2.1;8.0;9.0;475;69%;26.6;842;0.92;0.37;0.25;0.1;245;7;171;22.2%;3.7%;0;6
SanSan; VN;18;61.1%;3.9;3.6;3.6;10.4;6.3;379;67.1%;17.0;513;1.43;0.34;0.31;0.29;-100;0;-72;27.8%;11.1%;0;1
Sangrod; TR;9;33.3%;2.7;4.1;3.6;5.3;7.5;380;60.4%;22.3;571;0.93;0.38;0.16;0.13;-536;-9;-442;11.1%;11.1%;0;3
Santa; EG;5;0%;1.8;1.2;4.8;7.6;5.1;296;76.1%;15.5;400;0.85;0.16;0.18;0.14;-944;-16;-1030;40%;0%;0;-
Santorin; DK;7;57.1%;4.7;2.6;2.9;10.9;5.9;347;70.1%;13.5;408;1.46;0.29;0.29;0.24;-47;3;191;42.9%;0%;0;-
Sassappel; JP;3;33.3%;1.8;1.0;4.3;7.0;5.3;300;63.1%;11.4;333;1.17;0.3;0.25;0.24;-786;-26;-875;33.3%;0%;0;-
Savero; CZ;44;54.5%;3.4;3.0;3.2;7.9;6.1;360;65.7%;16.6;466;1.03;0.18;0.24;0.14;-159;1;-30;34.1%;4.5%;0;10
Sayn; DZ;14;42.9%;4.4;4.4;2.4;5.9;9.0;421;76.1%;29.5;708;0.88;0.39;0.15;0.13;742;10;429;28.6%;7.1%;0;5
ScaryJerry; US;15;6.7%;1.4;2.4;4.0;3.0;8.7;391;74.6%;26.6;619;0.94;0.41;0.22;0.18;-327;-1;-239;0%;26.7%;0;1
Scientrist; NL;27;59.3%;3.3;0.9;3.7;11.5;1.0;254;63.5%;8.0;209;2.92;1.3;0.36;0.31;154;1;154;29.6%;14.8%;0;-
Scorth; TR;19;36.8%;4.1;4.3;2.3;5.0;9.1;417;66.4%;25.7;647;0.81;0.31;0.23;0.05;4;-4;-81;42.1%;0%;0;3
Scout; KR;57;61.4%;4.6;3.3;2.4;7.5;8.4;410;66.6%;24.7;647;0.99;0.35;0.22;0.18;68;-;-;-;-;-;-
Scuro; BR;8;25%;2.7;3.6;3.6;6.1;8.8;421;67.8%;25.2;728;1.09;0.47;0.23;0.16;-433;1;96;0%;25%;0;-
SeMike; SK;17;17.6%;2.4;3.2;3.8;5.8;8.0;392;58.2%;25.9;636;0.84;0.37;0.14;0.07;-518;-14;-654;0%;17.6%;0;5
SeTab; KR;52;28.8%;2.0;2.8;3.8;4.8;8.2;393;68.6%;27.3;675;1.15;0.42;0.24;0.22;-157;-;-;-;-;-;-
Seal; NL;14;7.1%;1.4;0.7;5.6;6.9;1.0;228;80.9%;8.5;182;3.45;1.76;0.4;0.5;-164;-0;-105;0%;21.4%;0;2
Seaz; AT;22;45.5%;3.5;0.8;2.6;8.4;1.0;242;62%;6.7;172;3.03;1.57;0.3;0.32;-141;4;218;22.7%;4.5%;0;1
Secrett; PL;27;51.9%;4.3;4.4;2.6;6.7;8.6;425;64.9%;24.7;713;0.84;0.21;0.19;0.07;251;8;194;18.5%;3.7%;0;11
Seeker; AR;12;8.3%;1.5;2.3;4.6;4.3;7.9;374;45.8%;22.9;584;0.82;0.38;0.14;0.1;-262;-9;-160;16.7%;8.3%;0;3
Seelame; FR;2;100%;5.2;8.5;3.0;7.0;8.1;472;59.3%;27.9;878;0.99;0.39;0.26;0.03;566;2;-66;50%;0%;0;-
Sekkou; HU;26;69.2%;3.7;1.7;3.6;11.6;0.8;271;71.4%;9.6;279;2.96;1.61;0.23;0.36;271;-4;-92;38.5%;3.8%;0;-
Selenex; ES;9;0%;0.9;1.4;4.1;2.4;7.5;337;40.5%;20.9;477;0.97;0.44;0.11;0.14;-502;-11;-572;11.1%;22.2%;0;-
Selxis; VN;8;37.5%;2.8;3.5;4.5;9.1;5.9;368;67.6%;17.9;549;1.43;0.32;0.31;0.28;-519;-9;-536;37.5%;12.5%;0;1
Sencux; DK;17;58.8%;4.5;3.8;2.3;6.5;8.3;403;61.1%;23.8;690;0.9;0.38;0.16;0.1;-17;6;122;5.9%;5.9%;0;6
Send0o; ES;39;66.7%;2.2;3.4;4.4;6.1;7.4;398;47.1%;21.5;650;1.0;0.4;0.15;0.11;-283;-7;-214;7.7%;17.9%;0;19
Seneca; SE;26;57.7%;4.3;0.8;3.0;12.0;1.0;252;74.2%;7.9;219;3.03;1.4;0.32;0.29;107;1;-42;42.3%;3.8%;0;-
Septico1; RO;37;48.6%;2.0;3.9;4.3;4.8;8.2;413;49.9%;26.2;745;0.7;0.32;0.12;0.05;338;12;298;5.4%;2.7%;1;27
Serin; TR;24;54.2%;4.5;4.5;2.3;5.5;8.8;427;68%;27.2;726;1.0;0.35;0.22;0.2;99;2;96;16.7%;4.2%;0;5
