Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Meight; HU;7;42.9%;2.9;3.6;4.7;10.1;8.2;401;60.8%;24.1;796;0.79;0.32;0.13;0.07;-81;0;-152;28.6%;14.3%;0;2
MelyaP; FR;2;50%;1.8;2.5;3.0;3.0;8.0;397;38.6%;22.5;612;0.85;0.39;0.15;0.13;16;-3;380;0%;0%;0;1
Mercy9; TR;12;33.3%;3.3;4.4;2.8;4.8;8.6;407;67.9%;28.8;681;0.8;0.26;0.21;0.09;364;6;159;50%;0%;0;6
Mersa; GR;19;52.6%;2.2;0.6;4.8;9.9;0.8;234;74.6%;6.2;165;3.42;1.91;0.29;0.43;-245;-2;-382;21.1%;15.8%;0;-
MetroArcher; PT;19;36.8%;3.6;6.2;3.6;6.7;8.0;411;65.3%;24.9;696;0.67;0.27;0.18;0.07;-320;-11;-98;31.6%;10.5%;0;6
Metroflox; FR;20;45%;3.1;3.4;3.8;8.3;6.0;352;68.9%;18.1;486;1.1;0.17;0.28;0.14;-195;-6;-178;40%;0%;0;8
Mewkyo; BR;16;62.5%;2.8;3.1;3.4;6.4;6.8;371;74.8%;17.0;406;1.37;0.25;0.29;0.2;-109;6;255;43.8%;25%;0;2
Mietek; PL;12;50%;2.5;2.9;3.9;7.0;8.2;387;57.6%;22.6;632;0.75;0.33;0.13;0.07;31;6;-136;33.3%;0%;0;4
Mihile; KR;33;66.7%;3.9;4.5;3.1;7.4;8.5;436;57.5%;25.4;739;0.99;0.38;0.18;0.11;506;14;333;6.1%;6.1%;0;19
Mikyx; SI;32;59.4%;3.5;0.9;3.3;10.8;1.0;259;74.5%;8.4;223;3.85;1.89;0.5;0.51;27;-2;67;37.5%;3.1%;0;-
Mimic1; SA;14;42.9%;3.4;4.1;3.1;6.5;8.4;401;68.9%;23.7;600;0.93;0.38;0.21;0.1;-388;-8;-149;28.6%;14.3%;0;3
Miniduke; ES;15;53.3%;3.9;4.1;2.7;6.4;8.4;428;65%;26.4;682;1.25;0.29;0.36;0.17;-66;-7;109;26.7%;13.3%;0;7
Minji; TW;31;16.1%;1.9;4.3;5.1;5.6;7.8;390;56.4%;25.8;741;0.72;0.28;0.12;0.12;-569;-7;-310;3.2%;12.9%;0;20
Minous; KR;7;28.6%;2.1;0.9;3.9;7.1;1.0;243;76.4%;7.8;197;3.32;1.62;0.43;0.45;-138;1;161;28.6%;14.3%;0;2
