Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Razork; ES;3;66.7%;3.7;3.7;3.0;7.3;5.7;366;77%;19.2;483;1.54;0.27;0.4;0.21;567;-10;-361;33.3%;0%;0;-
Rest; TW;4;75%;4.6;4.3;2.3;6.0;8.2;417;65.1%;26.4;682;1.06;0.41;0.15;0.15;138;10;528;25%;0%;0;2
Rich; KR;12;50%;3.4;2.3;2.7;6.8;7.3;355;59.4%;23.7;645;1.09;0.43;0.18;0.17;-170;-11;-181;33.3%;8.3%;0;2
River; KR;4;0%;1.4;3.5;4.8;3.3;6.5;352;72.8%;16.5;382;1.66;0.34;0.39;0.29;6;-2;-86;75%;0%;0;-
RooKie; KR;11;63.6%;6.5;5.4;2.3;9.5;8.4;434;73.1%;27.7;901;1.21;0.44;0.26;0.22;201;-;-;-;-;-;-
Rooster; KR;2;100%;6.0;5.5;2.5;9.5;8.5;469;73.3%;33.1;857;1.07;0.44;0.28;0.12;1080;20;408;0%;0%;0;-
Ruler; KR;19;73.7%;5.2;5.4;2.3;6.4;9.7;468;65.2%;26.7;762;1.35;0.43;0.4;0.15;43;1;18;42.1%;10.5%;1;1
Saber; CN;14;35.7%;3.3;2.1;2.1;5.0;9.1;398;74.9%;25.0;535;1.11;0.42;0.23;0.19;-104;-;-;-;-;-;-
Saint; KR;5;40%;3.0;2.2;2.8;6.2;8.8;397;63.5%;24.4;600;1.31;0.4;0.35;0.21;278;0;3;20%;0%;0;-
Sav1or; CN;13;53.8%;3.8;4.0;2.5;5.6;9.6;449;73.6%;29.0;694;1.13;0.42;0.29;0.15;-81;-;-;-;-;-;-
Scout; KR;11;36.4%;2.6;2.3;3.0;5.5;8.1;379;68.5%;30.2;711;0.93;0.34;0.23;0.17;-284;-;-;-;-;-;-
SeTab; KR;9;44.4%;3.4;2.9;2.9;7.0;8.2;396;75.7%;25.7;567;1.32;0.41;0.34;0.22;69;-;-;-;-;-;-
Shad0w; IT;9;88.9%;6.9;5.1;2.7;13.3;6.5;401;80.3%;16.4;501;1.74;0.4;0.45;0.37;-30;-;-;-;-;-;-
Shanks; CN;21;57.1%;4.3;3.8;2.6;7.3;8.5;407;71.3%;23.7;653;0.98;0.35;0.23;0.12;-121;-11;-74;4.8%;4.8%;0;-
Sheiden; PH;4;0%;1.6;2.8;4.5;4.3;6.3;357;63.1%;14.1;309;1.22;0.24;0.23;0.25;-146;-6;-255;25%;0%;0;-
Sheo; FR;3;33.3%;3.1;1.7;2.7;6.7;6.6;347;68.1%;19.0;400;1.31;0.37;0.3;0.18;-567;10;361;33.3%;0%;0;-
ShowMaker; KR;10;70%;5.6;3.8;2.0;7.3;9.1;441;69.5%;23.9;650;1.16;0.45;0.26;0.23;224;1;96;20%;20%;0;4
Siuloong; VN;4;100%;4.8;1.3;3.3;14.5;0.7;256;79.9%;8.3;267;3.64;2.09;0.21;0.48;74;-2;-330;50%;0%;0;1
Siwoo; KR;10;70%;2.7;2.6;3.2;6.0;7.9;376;56.1%;22.0;598;1.12;0.38;0.2;0.15;-56;-1;-71;0%;20%;0;2
Skeanz; FR;2;0%;2.4;4.5;3.5;4.0;6.4;369;66.8%;14.4;330;1.39;0.32;0.25;0.34;671;4;373;50%;0%;0;-
SkewMond; FR;10;50%;3.7;2.4;2.6;7.1;6.5;347;66.8%;17.9;506;1.55;0.29;0.36;0.23;8;4;-103;10%;10%;0;-
Slayder; VN;6;33.3%;5.1;5.2;1.7;3.3;9.8;445;78.5%;28.4;625;0.74;0.32;0.22;0.07;419;8;82;50%;0%;0;-
Sniper; US;4;0%;0.7;1.0;3.8;1.8;6.3;297;30.1%;14.5;335;0.94;0.41;0.12;0.17;-630;-19;-596;25%;25%;0;1
Solokill; HK;10;60%;4.6;2.8;1.6;4.5;7.9;379;46%;20.3;474;0.99;0.44;0.09;0.18;-538;-;-;-;-;-;-
