Name;Season;Region;Games;Win rate;K:D;GPM;GDM;Game duration;Kills / game;Deaths / game;Towers killed;Towers lost;FB%;FT%;FOS%;DRAPG;DRA%;VGPG;HER%;ATAKHAN%;DRA@15;TD@15;GD@15;PPG;NASHPG;NASH%;CSM;DPM;WPM;VWPM;WCPM
Invictus Gaming;S15;CN;75;58.7%;1.08;1871;52;33:37;16.3;15.0;6.5;5.7;44.0;58.7;42.7;2.71;57.1;2.1;42.7;-;-;-;-2;-;0.72;57.7;33.1;2795;3.1;1.16;1.53
JD Gaming;S15;CN;57;61.4%;1.17;1898;85;32:46;16.2;13.7;6.9;5.2;42.1;35.1;22.8;2.25;50.9;1.9;61.4;-;-;-;219;-;0.56;55.0;34.1;2649;3.6;1.29;1.45
Karmine Corp;S15;EUW;41;65.9%;1.23;1924;170;33:31;15.5;12.6;7.7;4.6;36.6;68.3;58.5;2.98;63.1;2.1;58.5;58.5;0.93;0.1;25;4.27;0.83;72.8;34.3;2716;3.4;1.18;1.6
KT Rolster;S15;KR;57;56.1%;1.16;1836;14;32:11;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;66.7;1.02;0.1;-140;3.53;0.56;59.2;33.2;2563;3.6;1.44;1.67
LGD Gaming;S15;CN;26;46.2%;0.96;1835;-28;32:43;15.0;15.6;5.5;6.5;38.5;50.0;34.6;2.12;47.0;2.8;38.5;-;-;-;-385;-;0.54;48.6;32.6;2701;3.1;1.18;1.54
LNG Esports;S15;CN;17;41.2%;1.03;1812;-9;31:40;11.8;11.5;5.4;6.1;47.1;35.3;11.8;2.24;52.1;2.5;41.2;-;-;-;396;-;0.41;43.3;34.3;2424;3.4;1.24;1.6
LYON;S15;;17;41.2%;1.08;1823;-27;34:08;13.8;12.8;6.5;6.6;58.8;23.5;17.6;2.65;52.2;1.8;23.5;47.1;0.88;-0.3;-787;3.24;0.53;46.9;33.5;2539;3.3;1.21;1.61
MGN Vikings Esports;S15;VN;20;50.0%;1.08;1830;19;32:40;14.2;13.1;5.8;5.8;40.0;55.0;45.0;2.05;47.3;1.7;45.0;45.0;0.65;0.1;220;4.05;0.45;47.1;33.6;2454;3.5;1.2;1.43
Movistar KOI;S15;EUW;48;54.2%;1.16;1841;22;34:09;13.8;11.9;5.8;6.0;56.3;35.4;41.7;2.48;50.1;1.8;52.1;47.9;0.75;-0.1;17;3.71;0.58;48.1;34.2;2389;3.5;1.19;1.68
Ninjas in Pyjamas;S15;CN;54;35.2%;0.78;1801;-127;33:21;14.2;18.3;4.6;7.1;48.1;44.4;37.0;1.91;40.4;2.1;44.4;-;-;-;-780;-;0.56;45.5;32.5;2601;3.2;1.13;1.42
