tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
Esports World Cup 2025;2025-07-18;FURIA;3;31.9;0.85;0.93;-0.91;-0.025;38.5;-5.1;-677;0.67;0.67;0.33;2.7;0.67;0.56;0.33;0.36;;0.33;1.0;0.48100000000000004;0.469;3.53;1.43;1.34;0.3333333333333333
Esports World Cup 2025;2025-07-18;G2 Esports;5;32.6;2.13;0.87;1.35;0.042;66.2;13.8;994;0.6;0.6;0.8;4.4;0.6;0.6;0.2;0.64;;0.6;0.6;0.502;0.5379999999999999;3.32;1.24;1.68;0.8
Esports World Cup 2025;2025-07-18;GAM Esports;2;29.2;0.37;0.89;-1.02;-0.057;35.1;-35.1;-669;1.0;0.0;0.5;1.5;0.0;0.67;0.0;0.22;;0.0;0.0;0.49;0.47200000000000003;3.36;1.28;1.38;0.0
Esports World Cup 2025;2025-07-18;Gen.G;2;31.1;1.59;1.13;1.33;0.07;76.3;23.7;1797;0.5;1.0;1.0;4.5;0.5;0.83;1.0;0.7;;1.0;1.0;0.529;0.504;3.41;1.27;1.61;1.0
Esports World Cup 2025;2025-07-18;Hanwha Life Esports;5;30.2;0.92;0.98;-0.08;-0.02;51.0;9.0;107;0.6;0.6;0.6;3.2;0.2;0.27;0.6;0.48;;0.6;0.75;0.49700000000000005;0.47700000000000004;3.56;1.27;1.72;0.6
Esports World Cup 2025;2025-07-18;Movistar KOI;6;30.3;0.82;0.98;-0.78;-0.059000000000000004;34.7;15.3;-612;0.17;0.5;0.33;4.7;0.67;0.78;0.33;0.42;;0.33;0.4;0.503;0.484;3.35;1.09;1.82;0.5
Esports World Cup 2025;2025-07-18;T1;3;28.4;1.22;1.15;1.35;0.09;56.4;10.3;44;1.0;0.67;0.67;5.3;0.67;0.33;0.67;0.58;;0.67;1.0;0.506;0.5379999999999999;3.69;1.5;1.31;0.6666666666666666
Esports World Cup 2025;2025-07-19;Anyone's Legend;5;30.9;2.65;0.95;1.54;0.133;66.3;13.7;1759;0.4;0.8;0.8;2.0;0.8;0.67;0.2;0.55;;0.4;0.5;0.501;0.5479999999999999;3.77;1.5;1.66;0.8
Esports World Cup 2025;2025-07-19;Bilibili Gaming;3;32.5;0.58;0.84;-0.7;-0.009000000000000001;38.4;-5.1;-716;0.33;0.33;0.33;3.3;0.67;0.56;0.67;0.47;;0.33;0.5;0.498;0.484;3.31;1.21;1.53;0.3333333333333333
Esports World Cup 2025;2025-07-19;Cloud9;2;36.7;0.25;0.75;-1.82;-0.10800000000000001;35.2;-35.2;-1677;0.5;0.0;0.0;2.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.517;0.475;3.12;1.02;1.56;0.0
Esports World Cup 2025;2025-07-19;CTBC Flying Oyster;3;31.3;1.05;0.96;0.29;-0.027000000000000003;76.3;-42.9;1056;0.67;0.33;0.33;4.0;0.67;0.11;1.0;0.69;;0.33;0.33;0.49200000000000005;0.494;4.02;1.56;1.38;0.3333333333333333
Esports World Cup 2025;2025-07-19;FlyQuest;5;33.0;0.93;0.88;-0.07;-0.006;43.1;-3.1;-206;0.4;0.4;0.4;3.8;0.4;0.2;0.4;0.38;1.0;0.2;0.4;0.49200000000000005;0.499;3.41;1.01;1.3;0.4
Esports World Cup 2025;2025-07-19;FURIA;3;31.9;0.85;0.93;-0.91;-0.025;38.5;-5.1;-677;0.67;0.67;0.33;2.7;0.67;0.56;0.33;0.36;;0.33;1.0;0.48100000000000004;0.469;3.53;1.43;1.34;0.3333333333333333
Esports World Cup 2025;2025-07-19;G2 Esports;8;31.8;1.54;0.84;0.66;0.015;51.0;11.5;-4;0.5;0.38;0.5;4.0;0.5;0.54;0.25;0.54;;0.5;0.63;0.494;0.522;3.3;1.21;1.69;0.625
Esports World Cup 2025;2025-07-19;GAM Esports;2;29.2;0.37;0.89;-1.02;-0.057;35.1;-35.1;-669;1.0;0.0;0.5;1.5;0.0;0.67;0.0;0.22;;0.0;0.0;0.49;0.47200000000000003;3.36;1.28;1.38;0.0
Esports World Cup 2025;2025-07-19;Gen.G;5;30.8;1.34;0.92;0.87;0.046;75.1;4.9;1718;0.6;1.0;1.0;5.2;0.6;0.67;0.8;0.67;;0.6;0.6;0.523;0.505;3.58;1.25;1.54;0.8
Esports World Cup 2025;2025-07-19;Hanwha Life Esports;5;30.2;0.92;0.98;-0.08;-0.02;51.0;9.0;107;0.6;0.6;0.6;3.2;0.2;0.27;0.6;0.48;;0.6;0.75;0.49700000000000005;0.47700000000000004;3.56;1.27;1.72;0.6
Esports World Cup 2025;2025-07-19;Movistar KOI;6;30.3;0.82;0.98;-0.78;-0.059000000000000004;34.7;15.3;-612;0.17;0.5;0.33;4.7;0.67;0.78;0.33;0.42;;0.33;0.4;0.503;0.484;3.35;1.09;1.82;0.5
