tournament;date;teamA;teamB;teamA_win
LCK 2025 Rounds 3-5;2025-07-27;T1;Nongshim RedForce;1
LCK 2025 Rounds 3-5;2025-07-27;DN Freecs;DRX;0
LCK 2025 Rounds 3-5;2025-07-26;Hanwha Life Esports;KT Rolster;1
LCK 2025 Rounds 3-5;2025-07-26;Dplus KIA;BNK FEARX;1
LCK 2025 Rounds 3-5;2025-07-25;OKSavingsBank BRION;DRX;1
LCK 2025 Rounds 3-5;2025-07-25;T1;Gen.G;1
LCK 2025 Rounds 3-5;2025-07-24;KT Rolster;Nongshim RedForce;1
LCK 2025 Rounds 3-5;2025-07-24;DN Freecs;BNK FEARX;0
LCK 2025 Rounds 3-5;2025-07-23;Gen.G;Hanwha Life Esports;1
LCK 2025 Rounds 3-5;2025-07-23;Dplus KIA;OKSavingsBank BRION;0
LTA North 2025 Split 3;2025-08-10;Dignitas;Disguised;0
LTA North 2025 Split 3;2025-08-10;Cloud9;Team Liquid;1
LTA North 2025 Split 3;2025-08-09;Shopify Rebellion;100 Thieves;1
LTA North 2025 Split 3;2025-08-09;FlyQuest;LYON;1
LTA North 2025 Split 3;2025-08-03;Disguised;Shopify Rebellion;0
LTA North 2025 Split 3;2025-08-03;Dignitas;Cloud9;0
LTA North 2025 Split 3;2025-08-02;LYON;Team Liquid;1
LTA North 2025 Split 3;2025-08-02;100 Thieves;FlyQuest;0
LTA North 2025 Split 3;2025-07-27;Shopify Rebellion;Dignitas;1
LTA North 2025 Split 3;2025-07-27;Team Liquid;100 Thieves;1
LTA North 2025 Split 3;2025-07-26;Cloud9;LYON;1
LTA North 2025 Split 3;2025-07-26;FlyQuest;Disguised;1
LTA South 2025 Split 3;2025-08-10;paiN Gaming;RED Canids;0
LTA South 2025 Split 3;2025-08-10;Fluxo W7M;Leviatan;0
LTA South 2025 Split 3;2025-08-09;LOUD;Isurus Estral;1
LTA South 2025 Split 3;2025-08-09;Vivo Keyd Stars;FURIA;0
LTA South 2025 Split 3;2025-08-03;LOUD;RED Canids;0
LTA South 2025 Split 3;2025-08-03;Leviatan;Vivo Keyd Stars;0
LTA South 2025 Split 3;2025-08-02;Fluxo W7M;Isurus Estral;0
LTA South 2025 Split 3;2025-08-02;paiN Gaming;FURIA;1
LTA South 2025 Split 3;2025-07-27;LOUD;Vivo Keyd Stars;0
LTA South 2025 Split 3;2025-07-27;Isurus Estral;RED Canids;0
LTA South 2025 Split 3;2025-07-26;paiN Gaming;Leviatan;1
LTA South 2025 Split 3;2025-07-26;FURIA;Fluxo W7M;1
LCP 2025 Season Finals;2025-08-10;Team Secret Whales;CTBC Flying Oyster;0
LCP 2025 Season Finals;2025-08-10;DetonatioN FocusMe;Fukuoka SoftBank HAWKS gaming;0
LCP 2025 Season Finals;2025-08-09;TALON;GAM Esports;0
LCP 2025 Season Finals;2025-08-09;Chiefs Esports Club;MGN Vikings Esports;0
LCP 2025 Season Finals;2025-08-03;Team Secret Whales;GAM Esports;1
LCP 2025 Season Finals;2025-08-03;MGN Vikings Esports;Fukuoka SoftBank HAWKS gaming;1
LCP 2025 Season Finals;2025-08-02;TALON;CTBC Flying Oyster;0
LCP 2025 Season Finals;2025-08-02;DetonatioN FocusMe;Chiefs Esports Club;1
LCP 2025 Season Finals;2025-07-27;GAM Esports;CTBC Flying Oyster;0
LCP 2025 Season Finals;2025-07-27;Fukuoka SoftBank HAWKS gaming;Chiefs Esports Club;1
LCP 2025 Season Finals;2025-07-26;TALON;Team Secret Whales;0
LCP 2025 Season Finals;2025-07-26;MGN Vikings Esports;DetonatioN FocusMe;1
