tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
LEC 2025 Winter;2025-01-20;Karmine Corp;3;37.2;1.31;0.73;-0.74;-0.006999999999999999;33.4;33.2;-969.0;0.33;0.33;0.33;5.3;0.0;0.33;0.67;0.59;1.0;0.33;0.25;0.509;0.47600000000000003;3.89;1.32;1.8;0.6666666666666666
LEC 2025 Winter;2025-01-20;Movistar KOI;3;34.6;1.25;0.78;0.84;0.06;69.2;-2.5;1484.0;0.67;1.0;0.67;5.0;1.0;0.78;0.67;0.56;;1.0;1.0;0.483;0.535;3.43;1.48;2.04;0.6666666666666666
LEC 2025 Winter;2025-01-20;Rogue;3;45.5;0.84;0.73;-0.42;-0.021;62.7;-29.4;366.0;0.33;0.67;0.33;4.3;0.33;0.5;0.67;0.41;0.25;0.33;0.57;0.48700000000000004;0.47200000000000003;3.77;1.17;1.66;0.3333333333333333
LEC 2025 Winter;2025-01-20;SK Gaming;3;31.8;0.3;0.77;-1.24;-0.139;42.7;-42.7;-116.0;0.33;0.33;0.67;6.0;0.67;0.61;0.67;0.42;;0.0;0.0;0.488;0.501;2.93;1.01;1.12;0.0
LEC 2025 Winter;2025-01-20;Team BDS;3;34.3;1.23;0.76;-0.34;-0.027000000000000003;31.8;34.8;-1527.0;0.67;0.33;0.33;2.3;0.67;0.56;0.67;0.67;;0.67;0.67;0.505;0.46299999999999997;3.19;1.2;1.63;0.6666666666666666
LEC 2025 Winter;2025-01-20;Team Heretics;3;32.7;0.68;0.63;-0.42;-0.091;48.5;-15.2;-401.0;0.67;0.33;0.67;1.7;0.67;0.5;0.0;0.31;;0.33;0.5;0.49700000000000005;0.449;3.44;1.25;1.46;0.3333333333333333
LEC 2025 Winter;2025-01-20;Team Vitality;3;32.8;0.73;0.9;-1.23;-0.028999999999999998;37.0;-3.7;-1418.0;0.67;0.67;0.33;2.7;0.67;0.33;0.67;0.38;;0.33;0.33;0.491;0.442;3.28;1.22;1.36;0.3333333333333333
LEC 2025 Winter;2025-01-25;Fnatic;4;30.4;1.53;0.83;1.46;0.062;68.6;6.4;2050.0;0.25;0.5;0.5;6.3;0.25;0.5;0.5;0.5;;0.25;0.5;0.517;0.57;3.17;0.86;1.41;0.75
LEC 2025 Winter;2025-01-25;G2 Esports;4;36.3;1.13;0.78;0.73;0.053;64.0;-14.0;549.0;0.5;0.5;0.75;6.0;0.25;0.42;0.5;0.45;0.0;0.25;0.5;0.504;0.529;2.99;1.03;1.42;0.5
LEC 2025 Winter;2025-01-25;GiantX;4;42.4;1.49;0.72;0.81;0.083;50.1;24.9;78.0;0.75;0.25;0.25;3.8;0.25;0.46;0.5;0.5;0.75;1.0;0.67;0.511;0.521;3.43;1.2;1.82;0.75
LEC 2025 Winter;2025-01-25;Karmine Corp;4;33.5;1.5;0.75;-0.36;0.01;41.4;33.6;-290.0;0.25;0.25;0.5;5.8;0.25;0.5;0.5;0.55;1.0;0.25;0.25;0.507;0.491;3.58;1.19;1.7;0.75
