tournament,date,Team,GP,AGT,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
LPL 2025 Split 2 Placements,2025-03-25,ThunderTalk Gaming,3,30.4,0.41,0.79,,-0.015,,,,0.33,0.67,,,0.67,0.56,0.33,0.17,,,0.33,0.504,0.501,3.21,1.23,1.7,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-25,Top Esports,3,27.7,3.88,0.94,,0.155,,,,0.67,1.0,,,0.67,0.67,0.67,0.82,,,1.0,0.505,0.5760000000000001,3.47,1.39,1.14,1.0
LPL 2025 Split 2 Placements,2025-03-25,Ultra Prime,3,35.1,1.31,0.77,,0.026000000000000002,,,,0.67,0.67,,,0.67,0.61,0.33,0.6,,,0.75,0.49,0.519,3.98,1.6,1.44,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-25,Weibo Gaming,3,30.9,1.18,0.78,,0.051,,,,0.33,0.33,,,0.67,0.56,0.33,0.62,,,0.5,0.505,0.514,3.28,1.29,1.66,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-26,Anyone's Legend,3,31.8,1.59,1.38,,0.062,,,,1.0,0.67,,,0.33,0.61,0.67,0.75,,,0.67,0.514,0.49200000000000005,3.34,1.33,1.47,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-26,Bilibili Gaming,6,32.4,1.71,0.82,,0.087,,,,0.33,0.5,,,0.33,0.53,0.5,0.65,,,0.86,0.514,0.522,3.47,1.38,1.75,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-26,EDward Gaming,7,34.8,0.7,0.76,,-0.059000000000000004,,,,0.86,0.71,,,0.57,0.52,0.43,0.33,,,0.22,0.49,0.495,3.76,1.41,1.58,0.14285714285714285
LPL 2025 Split 2 Placements,2025-03-26,FunPlus Phoenix,3,31.1,1.03,0.74,,0.008,,,,0.67,0.0,,,0.33,0.33,0.67,0.67,,,0.33,0.501,0.49,3.36,1.33,1.53,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-26,Invictus Gaming,3,31.9,4.0,0.83,,0.154,,,,0.33,1.0,,,1.0,0.5,0.67,0.86,,,1.0,0.515,0.545,3.05,1.21,1.54,1.0
LPL 2025 Split 2 Placements,2025-03-26,JD Gaming,3,31.4,0.93,0.88,,-0.039,,,,0.67,0.33,,,0.67,0.39,1.0,0.43,,,0.5,0.503,0.55,3.63,1.19,1.27,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-26,LGD Gaming,3,34.1,0.78,0.85,,-0.045,,,,0.0,0.33,,,0.33,0.44,0.0,0.4,,,0.33,0.48100000000000004,0.42700000000000005,3.09,1.28,1.38,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-26,LNG Esports,3,29.6,0.37,0.83,,-0.07,,,,1.0,0.33,,,0.0,0.67,0.33,0.31,,,0.0,0.501,0.478,3.2,1.18,1.5,0.0
LPL 2025 Split 2 Placements,2025-03-26,Ninjas in Pyjamas,3,29.2,0.9,0.89,,0.015,,,,0.67,0.67,,,0.67,0.56,0.33,0.25,,,1.0,0.504,0.503,3.14,1.13,1.6,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-26,Oh My God,3,29.2,0.27,0.86,,-0.177,,,,0.0,0.33,,,0.33,0.44,0.33,0.27,,,0.0,0.489,0.431,3.11,1.16,1.44,0.0
LPL 2025 Split 2 Placements,2025-03-26,Royal Never Give Up,3,33.3,0.8,0.97,,-0.07400000000000001,,,,0.0,0.0,,,0.33,0.22,0.67,0.46,,,0.25,0.49200000000000005,0.488,3.48,1.42,1.68,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-26,Team WE,7,33.4,0.62,0.76,,-0.057,,,,0.43,0.29,,,0.57,0.4,0.57,0.41,,,0.29,0.496,0.46799999999999997,3.4,1.29,1.63,0.2857142857142857
LPL 2025 Split 2 Placements,2025-03-26,ThunderTalk Gaming,3,30.4,0.41,0.79,,-0.015,,,,0.33,0.67,,,0.67,0.56,0.33,0.17,,,0.33,0.504,0.501,3.21,1.23,1.7,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-26,Top Esports,3,27.7,3.88,0.94,,0.155,,,,0.67,1.0,,,0.67,0.67,0.67,0.82,,,1.0,0.505,0.5760000000000001,3.47,1.39,1.14,1.0
LPL 2025 Split 2 Placements,2025-03-26,Ultra Prime,3,35.1,1.31,0.77,,0.026000000000000002,,,,0.67,0.67,,,0.67,0.61,0.33,0.6,,,0.75,0.49,0.519,3.98,1.6,1.44,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-26,Weibo Gaming,6,30.5,1.68,0.69,,0.048,,,,0.33,0.5,,,0.5,0.56,0.5,0.65,,,0.8,0.502,0.521,3.44,1.29,1.61,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-27,Anyone's Legend,3,31.8,1.59,1.38,,0.062,,,,1.0,0.67,,,0.33,0.61,0.67,0.75,,,0.67,0.514,0.49200000000000005,3.34,1.33,1.47,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-27,Bilibili Gaming,6,32.4,1.71,0.82,,0.087,,,,0.33,0.5,,,0.33,0.53,0.5,0.65,,,0.86,0.514,0.522,3.47,1.38,1.75,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-27,EDward Gaming,7,34.8,0.7,0.76,,-0.059000000000000004,,,,0.86,0.71,,,0.57,0.52,0.43,0.33,,,0.22,0.49,0.495,3.76,1.41,1.58,0.14285714285714285
LPL 2025 Split 2 Placements,2025-03-27,FunPlus Phoenix,3,31.1,1.03,0.74,,0.008,,,,0.67,0.0,,,0.33,0.33,0.67,0.67,,,0.33,0.501,0.49,3.36,1.33,1.53,0.3333333333333333
