match_id;game_in_series;teamA;teamB;teamA_win;A_GP;A_W;A_L;A_AGT;A_K;A_D;A_KD;A_CKPM;A_GPR;A_GSPD;A_EGR;A_MLR;A_GD15;A_FB%;A_FT%;A_F3T%;A_PPG;A_HLD%;A_GRB%;A_FD%;A_DRG%;A_ELD%;A_FBN%;A_BN%;A_LNE%;A_JNG%;A_WPM;A_CWPM;A_WCPM;B_GP;B_W;B_L;B_AGT;B_K;B_D;B_KD;B_CKPM;B_GPR;B_GSPD;B_EGR;B_MLR;B_GD15;B_FB%;B_FT%;B_F3T%;B_PPG;B_HLD%;B_GRB%;B_FD%;B_DRG%;B_ELD%;B_FBN%;B_BN%;B_LNE%;B_JNG%;B_WPM;B_CWPM;B_WCPM;tournament;date
worlds_0;1;Team Heretics;Fnatic;;4;1;3;31.2;26;56;0.46;0.66;-1.39;-11.0%;33.5;-8.5;-1249.0;50%;0%;0%;2.8;0%;92%;75%;37%;;0%;0%;48.9%;48.5%;3.28;1.12;1.52;11;4;7;32.1;149;168;0.89;0.89;0.09;-2.0%;49.8;-13.4;-81.0;55%;55%;64%;5.0;64%;45%;55%;50%;;36%;33%;50.2%;51.3%;3.44;1.23;1.55;Worlds;2025-08-02
worlds_0;2;Team Heretics;Fnatic;;4;1;3;31.2;26;56;0.46;0.66;-1.39;-11.0%;33.5;-8.5;-1249.0;50%;0%;0%;2.8;0%;92%;75%;37%;;0%;0%;48.9%;48.5%;3.28;1.12;1.52;11;4;7;32.1;149;168;0.89;0.89;0.09;-2.0%;49.8;-13.4;-81.0;55%;55%;64%;5.0;64%;45%;55%;50%;;36%;33%;50.2%;51.3%;3.44;1.23;1.55;Worlds;2025-08-02
worlds_0;3;Team Heretics;Fnatic;;4;1;3;31.2;26;56;0.46;0.66;-1.39;-11.0%;33.5;-8.5;-1249.0;50%;0%;0%;2.8;0%;92%;75%;37%;;0%;0%;48.9%;48.5%;3.28;1.12;1.52;11;4;7;32.1;149;168;0.89;0.89;0.09;-2.0%;49.8;-13.4;-81.0;55%;55%;64%;5.0;64%;45%;55%;50%;;36%;33%;50.2%;51.3%;3.44;1.23;1.55;Worlds;2025-08-02
